* ユニット図鑑/501〜1000 [#ffbcea7f]

- ステータスの数値はLv1のもので、ユニット図鑑から確認できます。
-- ステータスは予告なく変更される可能性もあります。
-- 一部では計算によって算出しています。
- スキル欄の()内は習得Lvを表しています。ユニット図鑑で表示されるスキルはLv1のもの。
- テーブル(表)のヘッダから並び替えが可能です。
- 各ユニットのストーリーは「[[ストーリー]]」のページヘ。
- (編集者へ) ローマ数字が一文字になった記号は文字化けの可能性があるので使用を避けること。代わりにアルファベットの「I」や「V」を使うこと。

:&color(black,#eeeeee){ショートカット類};|
No.[[501>#no501]] - [[551>#no551]] - [[601>#no601]] - [[651>#no651]] - [[701>#no701]] - [[751>#no751]] - [[801>#no801]]- [[851>#no851]]
No.001〜500 > [[ユニット図鑑]]

#sortabletable(sort=Number|String|Number|String|String|String|Number|Number|Number|Number|Number|Number|String|String|String){{
|~No.|~名称|~★|~武|~主&br;属|~副&br;属|~HP|~攻撃|~回復|~進化pt|~最大Lv|~必要&br;進化pt|~パーティスキル|~アクティブスキル|~パネルスキル|h
|777|[悪鬼王]アシュラ|5|剣|BGCOLOR(#f1bba6):火|-|2200|1450|850|50|50|800|リーサルウェポン・ゼータ(1)&br;|-|生命の祈り(1)&br;|
|778|[修羅王]アシュラ|6|剣|BGCOLOR(#f1bba6):火|-|2800|2200|1150|60|80|-|リーサルウェポン・ゼータ(1)&br;|-|生命の祈り(1)&br;|
|779|[壊血王]オリヴァー|5|杖|BGCOLOR(#bba6f1):闇|-|900|1250|1400|50|50|800|ソウル・ドレイン(1)&br;|-|呪いの一撃(1)&br;|
|780|[死血王]オリヴァー|6|杖|BGCOLOR(#bba6f1):闇|-|1200|1900|2050|60|80|-|ソウル・インヘイル(1)&br;|-|呪いの一撃(1)&br;|
|781|[焔神皇]オーガスタス|6|剣|BGCOLOR(#f1bba6):火|-|2600|1750|850|60|99|-|アサルト・マスター+(1)&br;|ノヴァ・エンハンス(1)&br;|-|
|782|[水騎皇]|6|剣|BGCOLOR(#a6f1f1):水|-|2650|1650|900|60|99|-|ライフ・マスター+(1)&br;|ノヴァ・ディフェンダー(1)&br;|-|
|783|[偽聖皇]アラン|6|剣|BGCOLOR(#f1f1a6):光|-|2650|1700|850|60|99|-|ヒーリング・マスター+(1)&br;|ブレイブ・キュア(1)&br;|-|
|784|[狂牙皇]エイゼル|6|剣|BGCOLOR(#bba6f1):闇|-|2700|1700|800|60|99|-|クイック・マスター+(1)&br;|ノヴァ・グラビティ(1)&br;|-|
|785|[虚絶皇]ジョセフ|6|剣|BGCOLOR(#ffffff):無|-|2700|1750|950|60|99|-|セイバー・マスター++(1)&br;|アキュート・エッジ(1)&br;|-|
|786|[炎傑皇]フィリス|6|槍|BGCOLOR(#f1bba6):火|-|1050|2100|1000|60|99|-|ブレイド・マスター+(1)&br;|フレイム・ストーム(1)&br;|-|
|787|[救世皇]ウルスラ|6|槍|BGCOLOR(#a6f1f1):水|-|1100|2000|1050|60|99|-|バリア・マスター+(1)&br;|アクア・ストーム(1)&br;|-|
|788|[騎聖皇]エンゼリカ|6|槍|BGCOLOR(#f1f1a6):光|-|1100|2050|1000|60|99|-|ライジング・マスター+(1)&br;|ホーリー・ストーム(1)&br;|-|
|789|[絶園皇]ヴァイオラ|6|槍|BGCOLOR(#bba6f1):闇|-|1150|2050|950|60|99|-|チェイン・マスター+(1)&br;|ダーク・ストーム(1)&br;|-|
|790|[希園皇]フィオナ|6|槍|BGCOLOR(#ffffff):無|-|1150|2050|1050|60|99|-|ランサー・マスター++(1)&br;|アキュート・エッジ(1)&br;|-|
|791||6|弓|BGCOLOR(#f1bba6):火|-|||||||||-|
|792|[瀧提皇]ターナー|6|弓|BGCOLOR(#a6f1f1):水|-|1800|1450|1350|60|99|-|ソウル・ドレイン(1)&br;|ノヴァ・ミューテッド(1)&br;|-|
|793||6|弓|BGCOLOR(#f1f1a6):光|-|||||||||-|
|794|[首牙皇]スミス|6|弓|BGCOLOR(#bba6f1):闇|-|1850|1500|1300|60|99|-|ドラゴン・キラー+(1)&br;|ノヴァ・デリリアム(1)&br;|-|
|795||6|弓|BGCOLOR(#ffffff):無|-|||||||||-|
|796|[爆炎皇]レイチェル|6|杖|BGCOLOR(#f1bba6):火|-|1550|1250|1700|60|99|-|フレイム・ガーディアン(1)&br;|フレイム・テンペスト(1)&br;|-|
|797|[偽己皇]メアリー|6|杖|BGCOLOR(#a6f1f1):水|-|1600|1150|1750|60|99|-|アクア・ガーディアン(1)&br;|アクア・テンペスト(1)&br;|-|
|798|[戒悪皇]ローザ|6|杖|BGCOLOR(#f1f1a6):光|-|1600|1200|1700|60|99|-|ホーリー・ガーディアン(1)&br;|ホーリー・テンペスト(1)&br;|-|
|799|[呪血皇]ノーラ|6|杖|BGCOLOR(#bba6f1):闇|-|1650|1200|1650|60|99|-|ダークネス・ガーディアン(1)&br;|ダークネス・テンペスト(1)&br;|-|
|800|[悪食皇]ローレッタ|6|杖|BGCOLOR(#ffffff):無|-|1650|1250|1750|60|99|-|メイジ・マスター+(1)&br;|アキュート・エッジ(1)&br;|-|
//
|&aname(no801);801|[蜘焔王]パプリカ|5|杖|BGCOLOR(#f1bba6):火|-|1300|1250|1350|50|50|800|レジスト・フィールドI(1)&br;レジスト・フィールドII(?)&br;|ネオ・ディフェンダー(1)&br;|-|
|802|[蜘緋王]パプリカ|6|杖|BGCOLOR(#f1bba6):火|-|1800|1900|2050|60|80|-|レジスト・フィールドIII(1)&br;レジスト・フィールドIV(?)&br;レジスト・フィールドV(?)&br;|ネオ・ディフェンダー(1)&br;|-|
|803|[傭兵王]サンダース|5|弓|BGCOLOR(#bba6f1):闇|-|1650|1600|1150|50|50|800|アブソリュート・パワーI(1)&br;アブソリュート・パワーII(?)&br;|カオス・パニッシュI(1)&br;|-|
|804|[大佐王]サンダース|6|弓|BGCOLOR(#bba6f1):闇|-|2150|2000|1300|60|80|-|アブソリュート・パワーIII(1)&br;アブソリュート・パワーIV(?)&br;|カオス・パニッシュIII(1)&br;|-|
|805|[給仕王]エスタ|5|槍|BGCOLOR(#a6f1f1):水|-|1150|1850|1000|50|50|800|イモータル・ブレイカーI(1)&br;イモータル・ブレイカーII(?)&br;|エネミー・スキャン(1)&br;|-|
|806|[食達王]エスタ|6|槍|BGCOLOR(#a6f1f1):水|-|1350|2500|1250|60|80|-|イモータル・ブレイカーIII(1)&br;イモータル・ブレイカーIV(?)&br;|エネミー・スキャン(1)&br;|-|
|807|[占星王]キララ|5|弓|BGCOLOR(#f1f1a6):光|-|1400|1800|1250|50|50|800|クロス・カウンターI(1)&br;クロス・カウンターII(?)&br;|-|生命の祈り(1)&br;|
|808|[綺羅王]キララ|6|弓|BGCOLOR(#f1f1a6):光|-|1900|2200|1400|60|80|-|クロス・カウンターIII(1)&br;クロス・カウンターIV(?)&br;クロス・カウンターV(?)&br;クロス・カウンターVI(?)&br;|-|生命の祈り(1)&br;|
|809|[天機神]ディラル|5|剣|BGCOLOR(#f1f1a6):光|-|2150|1500|850|50|50|800|クイック・ブラストI(1)&br;クイック・ブラストII(?)&br;|-|魂の選定(1)&br;|
|810|[天騎神]ディラル|6|剣|BGCOLOR(#f1f1a6):光|-|2750|2250|1150|60|80|-|クイック・ブラストIII(1)&br;クイック・ブラストIV(?)&br;クイック・ブラストV(?)&br;クイック・ブラストVI(?)&br;|-|魂の選定(1)&br;|
|811|[造鉄王]ヴィルダー|5|剣|BGCOLOR(#f1bba6):火|-|2100|1400|900|50|50|800|ヒール・ステップI(1)&br;ヒール・ステップII(30)&br;|-|修練の構え(1)&br;|
|812|[鍛冶王]ヴィルダー|6|剣|BGCOLOR(#f1bba6):火|-|2700|2000|1200|60|80|-|ヒール・ステップIII(1)&br;ヒール・ステップIV(20)&br;|-|修練の構え・改(1)&br;|
|813|[同位六号]クロ|5|槍|BGCOLOR(#bba6f1):闇|-|850|1900|950|50|50|800|ホーリー・バスター(1)&br;ホーリー・イーター(20)&br;ホーリー・スローター(40)&br;|ダーク・パニッシュI(1)&br;ダーク・パニッシュII(30)&br;|-|
|814|[刻眼王]クロ|6|槍|BGCOLOR(#bba6f1):闇|-|1000|2400|1200|60|80|-|ホーリー・スローター(1)&br;ホーリー・キラー(20)&br;ホーリー・デス(40)&br;ホーリー・デス＋(60)&br;ホーリー・イレイズ(80)|ダーク・パニッシュIII(1)&br;ダーク・パニッシュIV(30)&br;ダーク・パニッシュV(80)|-|
|815|[同位六号]シロ|6|杖|BGCOLOR(#f1f1a6):光|-|1250|2000|1950|60|80|-|エレメント・チャージ(1)&br;|ヒール・ライトI(1)&br;|-|
|816|[完同体]オラクル|6|杖|BGCOLOR(#f1f1a6):光|BGCOLOR(#bba6f1):闇|1250|2000|1900|60|99|-|エレメント・チャージ(1)&br;|-|誘惑(1)&br;|
|817|[飛挺王]オルガ|5|弓|BGCOLOR(#a6f1f1):水|-|1450|1850|1150|50|50|800|プリズム・アローI(1)&br;プリズム・アローII(?)&br;|ネオ・グラビティI(1)&br;|-|
|818|[望空王]オルガ|6|弓|BGCOLOR(#a6f1f1):水|-|1950|2250|1300|60|80|-|プリズム・アローIII(1)&br;プリズム・アローIV(?)&br;プリズム・アローV(?)&br;|ネオ・グラビティ?(?)&br;|-|
|819|[黒王]ジュリエット|5|槍|BGCOLOR(#bba6f1):闇|-|1000|1900|1050|50|50|800|ランサー・アップ(1)&br;|ネオ・エンハンスI(1)&br;ネオ・エンハンスII(?)&br;|-|
|820|[密黒王]ジュリエット|6|槍|BGCOLOR(#bba6f1):闇|-|1150|2500|1300|60|80|-|ランサー・マスター+(?)&br;ランサー・マスター++(?)&br;アルティメットランサー(?)&br;|ネオ・エンハンスIII(?)&br;ネオ・エンハンスIV(?)&br;ネオ・エンハンスV(?)&br;|-|
|821|[犠王]ジーク|5|剣|BGCOLOR(#bba6f1):闇|-|2150|1600|400|50|50|800|トリプル・サポートI(1)&br;トリプル・サポートII(?)&br;|-|絶対防御(1)&br;|
|822|[犠己王]ジーク|6|剣|BGCOLOR(#bba6f1):闇|-|3000|2150|1000|60|80|-|トリプル・サポートIII(1)&br;トリプル・サポートIV(?)&br;トリプル・サポートV(?)&br;|-|絶対防御(1)&br;|
|823|[美鏡王]ラビリス|5|杖|BGCOLOR(#f1bba6):火|-|1200|1400|1300|50|50|800|スキルコピー(1)&br;|-|爆炎の舞(1)&br;|
|824|[幽鏡王]ラビリス|6|杖|BGCOLOR(#f1bba6):火|-|1700|1900|2200|60|80|-|スキルコピー(1)&br;|-|爆炎の舞(1)&br;|
|825|[執事王]ガウェイン|5|杖|BGCOLOR(#f1f1a6):光|-|1200|1400|1300|50|50|800|ソウル・ハントI(1)&br;|-|聖なる裁き(1)&br;|
|826|[司書王]ガウェイン|6|杖|BGCOLOR(#f1f1a6):光|-|1700|2100|2000|60|80|-|ソウル・ハント?(?)&br;|-|聖なる裁き(1)&br;|
|827|[騎士長]リリア|6|槍|BGCOLOR(#f1bba6):火|-|1100|2050|450|60|80|1200|チェイン・アップ(1)&br;|-|魂の踊り(1)&br;|
|828|[凛烈姫]リリア|6|槍|BGCOLOR(#f1bba6):火|BGCOLOR(#a6f1f1):水|1200|2250|950|60|99|-|チェイン・チャージ(1)&br;チェイン・バースト(20)&br;チェイン・マスター+(40)&br;チェイン・マスター+(60)&br;|-|魂の踊り(1)&br;生命の祈り(90)&br;|
|829|[敗北神]ゴッドフリー|5|剣|BGCOLOR(#bba6f1):闇|-|1700|1600|500|50|50|800|ガーディアン・ヒール(1)&br;|ゴッド・フィールド(1)&br;|-|
|830|[征勝神]ゴッドフリー|6|剣|BGCOLOR(#bba6f1):闇|-|2600|2300|1000|60|80|-|ガーディアン・ヒール(1)&br;|ゴッド・フィールド(1)&br;|-|
|831|||||-||||||||||
|832|||||-||||||||||
|833|[ものしり]グルル|5|杖|BGCOLOR(#bba6f1):闇|-|1100|1000|1200|50|50|800|オール・リカバリーI(1)&br;オール・リカバリーII(20)&br;|-|吸収の一撃(1)&br;|
|834|[はかせ]グルル|6|杖|BGCOLOR(#bba6f1):闇|-|1600|1400|2100|60|80|-|オール・リカバリーIII(1)&br;オール・リカバリーIV(20)&br;オール・リカバリーV(40)&br;オール・リカバリーVI(80)&br;|-|吸収の一撃(1)&br;|
|835|||||-||||||||||
|836|||||-||||||||||
|837|[白妙王]ハクヒ|5|剣|BGCOLOR(#f1f1a6):光|-|2250|1650|600|50|50|800|ソウル・サイエンスI(?)&br;|ダーク・バインドI(1)&br;|-|
|838|[白銀王]ハクヒ|6|剣|BGCOLOR(#f1f1a6):光|-|3100|2200|900|60|80|-|ソウル・サイエンスIII(?)&br;|ダーク・バインドIII(?)&br;|-|
|839|[怪盗王]ジョイ|5|杖|BGCOLOR(#bba6f1):闇|-|1300|1500|1150|50|50|800|プリズム・ロッドI(1)&br;プリズム・ロッドII(20)&br;|ミューテッド・ヘルI(1)&br;|-|
|840|[快盗王]ジョイ|6|杖|BGCOLOR(#bba6f1):闇|-|1850|2200|1850|60|70|-|プリズム・ロッドIII(?)&br;プリズム・ロッドIV(?)&br;プリズム・ロッドV(?)&br;|ミューテッド・ヘル?&br;|-|
|841|[採集王]アオ|5|剣|BGCOLOR(#a6f1f1):水|-|1900|1550|900|50|50|800|ダブル・ブラストI(1)&br;|-|激流の舞(1)&br;|
|842|[採終王]アオ|6|剣|BGCOLOR(#a6f1f1):水|-|2800|2100|1350|60|80|-|ダブル・ブラスト?(?)&br;ダブル・ブラストVI(?)&br;|-|激流の舞(1)&br;|
|843|[郵便王]ナディア|5|弓|BGCOLOR(#bba6f1):闇|-|1450|1750|1050|50|50|800|トリプル・サポートI(1)&br;トリプル・サポートII(?)&br;|-|追撃の陣(1)&br;|
|844|[幽便王]ナディア|6|弓|BGCOLOR(#bba6f1):闇|-|1950|2100|1200|60|80|-|トリプル・サポートIII(1)&br;トリプル・サポートIV(?)&br;トリプル・サポートV(?)&br;|-|追撃の陣(1)&br;|
|845|[虚獣王]ロア|5|剣|BGCOLOR(#f1bba6):火|-|1800|1900|600|50|50|800|パワー・ステップI(1)&br;パワー・ステップII(?)&br;|-|魂の選定(1)&br;|
|846|[隻獣王]ロア|6|剣|BGCOLOR(#f1bba6):火|-|2700|2400|800|60|80|-|パワー・ステップIII(1)&br;パワー・ステップIV(?)&br;パワー・ステップV(?)&br;|-|魂の選定(1)&br;|
|847|[棄憶王]ドーラ|5|剣|BGCOLOR(#f1bba6):火|-|1700|1300|900|50|50|800|ブレイド・ロードI(1)&br;|-|ヒール・ライトI(1)&br;|
|848|[壊心王]ドーラ|6|剣|BGCOLOR(#f1bba6):火|-|2700|2050|1100|60|80|-|ブレイド・ロードII(1)&br;ブレイド・ロードIII(?)&br;ブレイド・ロードIV(?)&br;|-|ヒール・ライトII(1)&br;ヒール・ライトIII(?)&br;ヒール・ライトIV(?)&br;|
|849|[模造型]B.S|5|槍|BGCOLOR(#bba6f1):闇|-|650|1950|500|50|50|-|パネル・ヒーラーI(1)&br;|-|ダーク・バスター(1)&br;|
|850|[痕元王]ベルタ・S|6|槍|BGCOLOR(#bba6f1):闇|-|950|2400|1000|60|80|-|ダークドラゴンキラーI(1)&br;ダークドラゴンキラーII(20)&br;ダークドラゴンキラーIII(40)&br;ダークドラゴンキラーIV(80)&br;|-|ダークネス・キャノン(1)&br;|
//
|&aname(no851);851|||||-||||||||||
|851|||||-||||||||||
|852|||||-||||||||||
|853|[幼虫王]ワスペル|5|槍|BGCOLOR(#f1f1a6):光|-|750|1800|700|50|50|800|女王の飽食(1)&br;|-|峰蜜(1)&br;|
|854|[蜂虫王]ワスペル|6|槍|BGCOLOR(#f1f1a6):光|-|950|2150|850|60|80|-|女王の隷属(1)&br;|-|アナフィラキシーストック(1)&br;|
|855|[世望王]ムラ|6|杖|BGCOLOR(#f1f1a6):光|-|950|2000|1800|60|80|-|ソウル・アブソーブ(1)&br;|オール・スキャン(1)&br;|-|
|856|[飛将]呂布|5|槍|BGCOLOR(#bba6f1):闇|-|800|1850|100|50|50|800|天下無双(1)&br;|無双天武掌(1)&br;|-|
|857|[天下飛将]呂布|6|槍|BGCOLOR(#bba6f1):闇|-|1600|2500|100|60|80|-|天下無双(1)&br;|無双天武掌(1)&br;|-|
|858|[魏王]曹操|5|剣|BGCOLOR(#f1bba6):火|-|1500|1500|800|50|50|800|乱世の奸雄(1)&br;|覇道(1)&br;|-|
|859|[魏武帝]曹操|6|剣|BGCOLOR(#f1bba6):火|-|1900|1900|1100|60|80|-|乱世の奸雄(1)&br;|覇道(1)&br;|-|
|860|[活眼美姫]王元姫|5|杖|BGCOLOR(#a6f1f1):水|-|900|1000|1300|50|50|800|活眼の美姫(1)&br;|天狼七星陣(1)&br;|-|
|861|[文明皇后]王元姫|6|杖|BGCOLOR(#a6f1f1):水|-|1200|1600|1800|60|80|-|活眼の美姫(1)&br;|天狼七星陣(1)&br;|-|
|862|激昂の雑兵|3|弓|BGCOLOR(#f1bba6):火|-|1200|1200|1200|50|50|-|滅却(1)&br;|紅蓮(1)&br;|-|
|863|慈愛の雑兵|3|弓|BGCOLOR(#a6f1f1):水|-|1200|1200|1200|50|50|-|水流(1)&br;|水刃(1)&br;|-|
|864|雄心の雑兵|3|弓|BGCOLOR(#f1f1a6):光|-|1200|1200|1200|50|50|-|閃光(1)&br;|閃撃(1)&br;|-|
|865|深淵の雑兵|3|弓|BGCOLOR(#bba6f1):闇|-|1200|1200|1200|50|50|-|深闇(1)&br;|闇弾(1)&br;|-|
|866|悲哀の雑兵|3|弓|BGCOLOR(#ffffff):無|-|1200|1200|1200|50|50|-|無我(1)&br;|両断(1)&br;|-|
|867|[聖職王]ロイド|5|槍|BGCOLOR(#f1f1a6):光|-|700|1850|1000|50|50|800|ゴッド・ランサーI(1)&br;ゴッド・ランサーII(20)&br;|ネオ・エンハンスI(1)&br;ネオ・エンハンスII(?)&br;|-|
|868|[狂信王]ロイド|6|槍|BGCOLOR(#f1f1a6):光|-|1000|2500|1450|60|80|-|ゴッド・ランサーIII(?)&br;ゴッド・ランサーIV(?)&br;ゴッド・ランサーV(?)&br;|ネオ・エンハンスIII(?)&br;ネオ・エンハンスIV(?)&br;ネオ・エンハンスV(?)&br;|-|
|869|[毛皮王]ウルル|5|弓|BGCOLOR(#bba6f1):闇|-|1500|1800|1100|50|50|800|ダーク・アサルトI(1)&br;ダーク・アサルトII(?)&br;|-|点穴(1)&br;|
|870|[毛革王]ウルル|6|弓|BGCOLOR(#bba6f1):闇|-|2000|2200|1250|60|80|-|ダーク・アサルトIII(1)&br;ダーク・アサルトIV(?)&br;|-|点穴(1)&br;|
|871|[永眠王]フィーナ|5|杖|BGCOLOR(#a6f1f1):水|-|1400|1300|1300|50|50|800|リーサルウェポン・シグマ(1)&br;|-|生命の祈り(1)&br;|
|872|[解眠王]フィーナ|6|杖|BGCOLOR(#a6f1f1):水|-|1900|2000|2000|60|80|-|リーサルウェポン・シグマ(1)&br;|-|生命の祈り(1)&br;|
|873|[忌骸王]オルクス|5|剣|BGCOLOR(#f1bba6):火|-|2000|1700|900|50|50|800|プリズム・ソードI(1)&br;プリズム・ソードII(20)&br;|-|魂の召還(1)&br;|
|874|[鬼骸王]オルクス|6|剣|BGCOLOR(#f1bba6):火|-|2900|2200|1100|60|80|-|プリズム・ソードIII(?)&br;プリズム・ソードIV(?)&br;プリズム・ソードV(?)&br;|-|魂の召還(1)&br;|
|875|[魔工王]キルト|5|剣|BGCOLOR(#f1f1a6):光|-|1900|1300|1000|50|80|-|アサルト&ヒーリングIV(1)&br;|グラビティ・ヘルVI(1)&br;|-|
|876|[失楽王]メリル|5|槍|BGCOLOR(#a6f1f1):水|-|1150|1600|1000|50|80|-|ヒーリング&ライフIV(1)&br;|ハイ・ディフェンダーVI(1)&br;|-|
|877|[孤児王]レオ|5|弓|BGCOLOR(#bba6f1):闇|-|1350|1250|1250|50|80|-|ダブル・キラー+(1)&br;|シャッフル(1)&br;|-|
|878|[魔法少女]プリティ・W|5|杖|BGCOLOR(#f1bba6):火|-|1150|1200|1600|50|80|-|ライフ&アサルトIV(1)&br;|セイント・キュアVI(1)&br;|-|
|879|||||-||||||||||
|880|||||-||||||||||
|LEFT:||CENTER:|CENTER:|CENTER:|CENTER:|LEFT:|LEFT:|LEFT:|LEFT:|LEFT:|LEFT:||||c
|~No.|~名称|~★|~武|~主&br;属|~副&br;属|~HP|~攻撃|~回復|~進化pt|~最大Lv|~必要&br;進化pt|~パーティスキル|~アクティブスキル|~パネルスキル|f
}}

// 追加用テンプレ: |000|||||-||||||||||


* コメント [#i5df5e89]

#pcomment(noname)

RIGHT:&color(#dc143c){コメントを書く前に[[コメントポリシー]]を参照してください。};
