* モンスター図鑑 [#de0cefec]

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]] - [[2401>#no2401]] - [[2501>#no2501]] - [[2601>#no2601]] - [[2701>#no2701]] - [[2801>#no2801]] - [[2901>#no2901]] - [[3001>#no3101]] - [[3101>#no3101]] - [[3201>#no3201]]- [[3301>#no3301]]- [[3401>#no3401]]- [[3501>#no3501]]- [[3601>#no3601]]- [[3701>#no3701]]- [[3801>#no3801]]]]- [[3901>#no3901]]]]- [[4001>#no4001]]]]

#style(class=enableFilter){{
|~No|~名称			|~タイプ|~属性|h
|1788|[[玄武の化身・ミニめいめい>モンスター図鑑/1788]]|神|BGCOLOR(#bbf1a6):木木|
|1789|[[麒麟の化身・ミニさくや>モンスター図鑑/1789]]|神|BGCOLOR(#f1f1a6):光水|
|1790|[[白虎の化身・ミニはく>モンスター図鑑/1790]]|神|BGCOLOR(#bba6f1):闇水|
|1791|[[夜刻武神・ミニつくよみ>モンスター図鑑/1791]]|神/攻撃|BGCOLOR(#bba6f1):闇光|
|1792|[[神書の管理者・ミニめたとろん>モンスター図鑑/1792]]|神/回復|BGCOLOR(#f1f1a6):光水|
|1793|[[現世の赤龍喚士・ミニそにあ>モンスター図鑑/1793]]|ドラゴン/悪魔|BGCOLOR(#f1bba6):火闇|
|1794|[[反逆の熾天使・ミニるしふぁー>モンスター図鑑/1794]]|神/バランス|BGCOLOR(#bba6f1):闇水|
|1795|[[ナッパ>モンスター図鑑/1795]]|体力/ドラゴン|BGCOLOR(#f1f1a6):光|
|1796|[[サイヤ人・ナッパ>モンスター図鑑/1796]]|体力/ドラゴン|BGCOLOR(#f1f1a6):光闇|
|1797|[[ラディッツ>モンスター図鑑/1797]]|体力/ドラゴン|BGCOLOR(#bba6f1):闇|
|1798|[[サイヤ人・ラディッツ>モンスター図鑑/1798]]|体力/ドラゴン|BGCOLOR(#bba6f1):闇火|
|1799|[[ビーデル>モンスター図鑑/1799]]|バランス/ドラゴン|BGCOLOR(#f1bba6):火|
|1800|[[サタンの娘・ビーデル>モンスター図鑑/1800]]|バランス/ドラゴン|BGCOLOR(#f1bba6):火木|
|1801&aname(no1801);|[[ゴテンクス>モンスター図鑑/1801]]|攻撃/ドラゴン|BGCOLOR(#a6f1f1):水火|
|1802|[[超サイヤ人・ゴテンクス>モンスター図鑑/1802]]|攻撃/ドラゴン|BGCOLOR(#a6f1f1):水火|
|1803|[[デンデ＆ポルンガ>モンスター図鑑/1803]]|神/ドラゴン|BGCOLOR(#bbf1a6):木木|
|1804|[[ブルマ>モンスター図鑑/1804]]|回復/ドラゴン|BGCOLOR(#a6f1f1):水水|
|1805|[[ドラゴンボール・一星球>モンスター図鑑/1805]]|強化合成用|BGCOLOR(#f1f1a6):光|
|1806|[[ドラゴンボール・三星球>モンスター図鑑/1806]]|強化合成用|BGCOLOR(#f1f1a6):光|
|1807|[[ドラゴンボール・四星球>モンスター図鑑/1807]]|強化合成用|BGCOLOR(#f1f1a6):光|
|1808|[[ドラゴンボール・六星球>モンスター図鑑/1808]]|強化合成用|BGCOLOR(#f1f1a6):光|
|1809|[[ドラゴンボール・七星球>モンスター図鑑/1809]]|強化合成用|BGCOLOR(#f1f1a6):光|
|1810|[[ドラゴンボール・二星球＆五星球>モンスター図鑑/1810]]|強化合成用|BGCOLOR(#f1f1a6):光|
|1811|[[ミニ曹操>モンスター図鑑/1811]]|神/攻撃|BGCOLOR(#f1bba6):火|
|1812|[[求覇の武王神・ミニ曹操>モンスター図鑑/1812]]|神/攻撃|BGCOLOR(#f1bba6):火|
|1813|[[ミニ孫権>モンスター図鑑/1813]]|神/回復|BGCOLOR(#a6f1f1):水|
|1814|[[秘勇の将軍神・ミニ孫権>モンスター図鑑/1814]]|神/回復|BGCOLOR(#a6f1f1):水|
|1815|[[ミニ劉備>モンスター図鑑/1815]]|神/攻撃|BGCOLOR(#bbf1a6):木|
|1816|[[明徳の英傑神・ミニ劉備>モンスター図鑑/1816]]|神/攻撃|BGCOLOR(#bbf1a6):木|
|1817|[[ミニ大喬＆小喬>モンスター図鑑/1817]]|神/回復|BGCOLOR(#f1f1a6):光水|
|1818|[[凛聖の双華神・ミニ大喬＆小喬>モンスター図鑑/1818]]|神/回復|BGCOLOR(#f1f1a6):光水|
|1819|[[ミニ呂布>モンスター図鑑/1819]]|神/悪魔|BGCOLOR(#bba6f1):闇|
|1820|[[羅刹の飛翔神・ミニ呂布>モンスター図鑑/1820]]|神/悪魔|BGCOLOR(#bba6f1):闇|
|1821|[[忠義神・ミニ関羽>モンスター図鑑/1821]]|神/ドラゴン|BGCOLOR(#f1bba6):火闇|
|1822|[[奮起の忠義神・ミニ関羽>モンスター図鑑/1822]]|神/ドラゴン|BGCOLOR(#f1bba6):火闇|
|1823|[[命龍神・ミニ諸葛亮>モンスター図鑑/1823]]|神/回復|BGCOLOR(#f1f1a6):光|
|1824|[[天星の命龍神・ミニ諸葛亮>モンスター図鑑/1824]]|神/回復|BGCOLOR(#f1f1a6):光水|
|1825|[[I LOVE デビベア>モンスター図鑑/1825]]|悪魔|BGCOLOR(#bba6f1):闇|
|1826|[[紅天使・ロズエル>モンスター図鑑/1826]]|神/攻撃|BGCOLOR(#f1bba6):火水|
|1827|[[紅翼の星天使・ロズエル>モンスター図鑑/1827]]|神/攻撃|BGCOLOR(#f1bba6):火水|
|1828|[[蒼天使・ファミエル>モンスター図鑑/1828]]|神/回復|BGCOLOR(#a6f1f1):水光|
|1829|[[蒼翼の星天使・ファミエル>モンスター図鑑/1829]]|神/回復|BGCOLOR(#a6f1f1):水光|
|1830|[[翠天使・リュエル>モンスター図鑑/1830]]|神/悪魔|BGCOLOR(#bbf1a6):木闇|
|1831|[[翠翼の星天使・リュエル>モンスター図鑑/1831]]|神/悪魔|BGCOLOR(#bbf1a6):木闇|
|1832|[[聖天使・アリエル>モンスター図鑑/1832]]|神/攻撃|BGCOLOR(#f1f1a6):光火|
|1833|[[聖翼の星天使・アリエル>モンスター図鑑/1833]]|神/攻撃|BGCOLOR(#f1f1a6):光火|
|1834|[[魔天使・ルミエル>モンスター図鑑/1834]]|神/悪魔|BGCOLOR(#bba6f1):闇水|
|1835|[[魔翼の星天使・ルミエル>モンスター図鑑/1835]]|神/悪魔|BGCOLOR(#bba6f1):闇水|
|1836|[[メジェドラ>モンスター図鑑/1836]]|神/バランス|BGCOLOR(#bbf1a6):木|
|1837|[[冥穣の守護神・メジェドラ>モンスター図鑑/1837]]|神/バランス|BGCOLOR(#bbf1a6):木火|
|1838|[[頑龍王・ガイノウト>モンスター図鑑/1838]]|ドラゴン|BGCOLOR(#f1bba6):火|
|1839|[[雷天の頑龍王・ガイノウト>モンスター図鑑/1839]]|ドラゴン/体力|BGCOLOR(#f1bba6):火光|
|1840|[[海龍王・ヴォルスーン>モンスター図鑑/1840]]|ドラゴン|BGCOLOR(#a6f1f1):水|
|1841|[[大弯の海龍王・ヴォルスーン>モンスター図鑑/1841]]|ドラゴン/攻撃|BGCOLOR(#a6f1f1):水火|
|1842|[[風龍王・リンシア>モンスター図鑑/1842]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|1843|[[玻璃の風龍王・リンシア>モンスター図鑑/1843]]|ドラゴン/バランス|BGCOLOR(#bbf1a6):木闇|
|1844|[[騎龍王・ノルディス>モンスター図鑑/1844]]|ドラゴン|BGCOLOR(#f1f1a6):光|
|1845|[[解放の騎龍王・ノルディス>モンスター図鑑/1845]]|ドラゴン/バランス|BGCOLOR(#f1f1a6):光木|
|1846|[[幻龍王・ゼローグ∞>モンスター図鑑/1846]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|1847|[[黒天の幻龍王・ゼローグ∞>モンスター図鑑/1847]]|ドラゴン/体力/悪魔|BGCOLOR(#bba6f1):闇水|
|1848|[[密命の天使・イーリア>モンスター図鑑/1848]]|神/回復|BGCOLOR(#f1f1a6):光光|
|1849|[[忘却の死神・グリザル>モンスター図鑑/1849]]|悪魔/攻撃|BGCOLOR(#bba6f1):闇闇|
|1850|[[ジャギ>モンスター図鑑/1850]]|攻撃|BGCOLOR(#bba6f1):闇|
|1851|[[暴虐の徒・ジャギ>モンスター図鑑/1851]]|攻撃|BGCOLOR(#bba6f1):闇|
|1852|[[アミバ>モンスター図鑑/1852]]|攻撃|BGCOLOR(#bba6f1):闇|
|1853|[[偽りの北斗神拳・アミバ>モンスター図鑑/1853]]|攻撃|BGCOLOR(#bba6f1):闇水|
|1854|[[ウイグル>モンスター図鑑/1854]]|攻撃|BGCOLOR(#bba6f1):闇|
|1855|[[獄長・ウイグル>モンスター図鑑/1855]]|攻撃|BGCOLOR(#bba6f1):闇|
|1856|[[拳王・ラオウ>モンスター図鑑/1856]]|悪魔|BGCOLOR(#bba6f1):闇|
|1857|[[世紀末覇者・ラオウ>モンスター図鑑/1857]]|悪魔|BGCOLOR(#bba6f1):闇火|
|1858|[[ラオウ>モンスター図鑑/1858]]|悪魔|BGCOLOR(#f1bba6):火|
|1859|[[天の覇者・ラオウ>モンスター図鑑/1859]]|悪魔/攻撃|BGCOLOR(#f1bba6):火闇|
|1860|[[ケンシロウ>モンスター図鑑/1860]]|体力|BGCOLOR(#f1bba6):火|
|1861|[[北斗神拳・ケンシロウ>モンスター図鑑/1861]]|体力/攻撃|BGCOLOR(#f1bba6):火光|
|1862|[[トキ>モンスター図鑑/1862]]|回復|BGCOLOR(#a6f1f1):水|
|1863|[[柔の拳・トキ>モンスター図鑑/1863]]|回復/攻撃|BGCOLOR(#a6f1f1):水光|
|1864|[[シン>モンスター図鑑/1864]]|悪魔|BGCOLOR(#f1f1a6):光|
|1865|[[南斗聖拳・シン>モンスター図鑑/1865]]|悪魔|BGCOLOR(#f1f1a6):光闇|
|1866|[[レイ>モンスター図鑑/1866]]|攻撃|BGCOLOR(#a6f1f1):水|
|1867|[[南斗水鳥拳・レイ>モンスター図鑑/1867]]|攻撃|BGCOLOR(#a6f1f1):水光|
|1868|[[ユダ>モンスター図鑑/1868]]|バランス|BGCOLOR(#bbf1a6):木|
|1869|[[南斗紅鶴拳・ユダ>モンスター図鑑/1869]]|バランス|BGCOLOR(#bbf1a6):木闇|
|1870|[[シュウ>モンスター図鑑/1870]]|攻撃|BGCOLOR(#bbf1a6):木|
|1871|[[南斗白鷺拳・シュウ>モンスター図鑑/1871]]|攻撃|BGCOLOR(#bbf1a6):木光|
|1872|[[サウザー>モンスター図鑑/1872]]|悪魔|BGCOLOR(#f1f1a6):光|
|1873|[[聖帝・サウザー>モンスター図鑑/1873]]|悪魔|BGCOLOR(#f1f1a6):光闇|
|1874|[[マミヤ>モンスター図鑑/1874]]|回復|BGCOLOR(#f1bba6):火|
|1875|[[秘愛の女戦士・マミヤ>モンスター図鑑/1875]]|回復|BGCOLOR(#f1bba6):火光|
|1876|[[ミニ趙雲>モンスター図鑑/1876]]|攻撃|BGCOLOR(#bbf1a6):木木|
|1877|[[龍威の勇将軍・ミニ趙雲>モンスター図鑑/1877]]|攻撃/ドラゴン|BGCOLOR(#bbf1a6):木光|
|1878|[[ディアゴルドス>モンスター図鑑/1878]]|ドラゴン|BGCOLOR(#f1bba6):火|
|1879|[[重装剣龍・ディアゴルドス>モンスター図鑑/1879]]|ドラゴン/攻撃|BGCOLOR(#f1bba6):火光|
|1880|[[富山湾の絶対王者・寒ブリ>モンスター図鑑/1880]]|体力|BGCOLOR(#a6f1f1):水水|
|1881|[[双曲剣の勇士・ショーテル>モンスター図鑑/1881]]|攻撃|BGCOLOR(#f1bba6):火木|
|1882|[[両刃剣の勇士・クレイモア>モンスター図鑑/1882]]|攻撃|BGCOLOR(#a6f1f1):水火|
|1883|[[無銘刀の勇士・正宗>モンスター図鑑/1883]]|攻撃|BGCOLOR(#bbf1a6):木水|
|1884|[[曲刃剣の勇士・コピス>モンスター図鑑/1884]]|攻撃|BGCOLOR(#f1f1a6):光火|
|1885|[[巨重剣の勇士・ツヴァイハンダー>モンスター図鑑/1885]]|攻撃|BGCOLOR(#bba6f1):闇水|
|1886|[[紅蓮華飛速・エキドナロココ>モンスター図鑑/1886]]|神/回復|BGCOLOR(#f1bba6):火光|
|1887|[[幸七羽毛・ヘッドロココ>モンスター図鑑/1887]]|神/回復|BGCOLOR(#f1f1a6):光火|
|1888|[[神王妃・ヘラマリア>モンスター図鑑/1888]]|悪魔/神|BGCOLOR(#bba6f1):闇火|
|1889|[[6聖球・サタンマリア>モンスター図鑑/1889]]|悪魔/神|BGCOLOR(#f1bba6):火闇|
|1890|[[たまドラゼウス>モンスター図鑑/1890]]|能力覚醒用|BGCOLOR(#f1f1a6):光|
|1891|[[ラオウちびドラ>モンスター図鑑/1891]]|強化合成用|BGCOLOR(#bba6f1):闇|
|1892|[[?>モンスター図鑑/1892]]|||
|1893|[[?>モンスター図鑑/1893]]|||
|1894|[[?>モンスター図鑑/1894]]|||
|1895|[[?>モンスター図鑑/1895]]|||
|1896|[[地の龍剣士>モンスター図鑑/1896]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|1897|[[アースドラゴンナイト>モンスター図鑑/1897]]|ドラゴン|BGCOLOR(#bbf1a6):木木|
|1898|[[闇の龍剣士>モンスター図鑑/1898]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|1899|[[シャドウドラゴンナイト>モンスター図鑑/1899]]|ドラゴン|BGCOLOR(#bba6f1):闇闇|
|1900|[[曲芸士>モンスター図鑑/1900]]|悪魔|BGCOLOR(#bba6f1):闇|
|1901&aname(no1901);|[[最強装備・曲芸士>モンスター図鑑/1901]]|悪魔|BGCOLOR(#bba6f1):闇火|
|1902|[[究極装備・シーフ>モンスター図鑑/1902]]|バランス/悪魔|BGCOLOR(#bbf1a6):木闇|
|1903|[[究極装備・時魔道士>モンスター図鑑/1903]]|回復/神|BGCOLOR(#f1f1a6):光光|
|1904|[[究極装備・狩人>モンスター図鑑/1904]]|攻撃/悪魔|BGCOLOR(#f1bba6):火闇|
|1905|[[究極装備・からくり士>モンスター図鑑/1905]]|回復/マシン|BGCOLOR(#a6f1f1):水水|
|1906|[[究極装備・フェンサー>モンスター図鑑/1906]]|バランス/悪魔|BGCOLOR(#bba6f1):闇闇|
|1907|[[天獄召喚・バハムートヘルヘブン>モンスター図鑑/1907]]|ドラゴン/悪魔|BGCOLOR(#bba6f1):闇光|
|1908|[[レッドマテリアル>モンスター図鑑/1908]]|強化合成用|BGCOLOR(#f1bba6):火|
|1909|[[ブルーマテリアル>モンスター図鑑/1909]]|強化合成用|BGCOLOR(#a6f1f1):水|
|1910|[[グリーンマテリアル>モンスター図鑑/1910]]|強化合成用|BGCOLOR(#bbf1a6):木|
|1911|[[イエローマテリアル>モンスター図鑑/1911]]|強化合成用|BGCOLOR(#f1f1a6):光|
|1912|[[パープルマテリアル>モンスター図鑑/1912]]|強化合成用|BGCOLOR(#bba6f1):闇|
|1913|[[ブラックマテリアル>モンスター図鑑/1913]]|強化合成用|BGCOLOR(#bba6f1):闇|
|1914|[[フィレム>モンスター図鑑/1914]]|ドラゴン|BGCOLOR(#f1f1a6):光|
|1915|[[鏡界の守護者・フィレム>モンスター図鑑/1915]]|ドラゴン/悪魔|BGCOLOR(#f1f1a6):光闇|
|1916|[[音楽龍・レジェロンテ>モンスター図鑑/1916]]|ドラゴン/マシン|BGCOLOR(#a6f1f1):水水|
|1917|[[ハラペコ・ペコどら>モンスター図鑑/1917]]|ドラゴン/回復|BGCOLOR(#f1bba6):火|
|1918|[[戦華の精霊・マンドレイク>モンスター図鑑/1918]]|攻撃|BGCOLOR(#bbf1a6):木|
|1919|[[轟炎龍・アームドティラノス>モンスター図鑑/1919]]|ドラゴン/攻撃|BGCOLOR(#f1bba6):火水|
|1920|[[幻氷龍・ミラージュプレシオス>モンスター図鑑/1920]]|ドラゴン/体力|BGCOLOR(#a6f1f1):水木|
|1921|[[猛花龍・ハウルブラキオス>モンスター図鑑/1921]]|ドラゴン/バランス|BGCOLOR(#bbf1a6):木火|
|1922|[[ゼウス＆ヘラ>モンスター図鑑/1922]]|神/悪魔|BGCOLOR(#f1f1a6):光闇|
|1923|[[相思の天界神・ゼウス＆ヘラ>モンスター図鑑/1923]]|神/悪魔|BGCOLOR(#f1f1a6):光闇|
|1924|[[怪盗キッド>モンスター図鑑/1924]]|バランス|BGCOLOR(#f1f1a6):光闇|
|1925|[[魔槍の秘術神・オーディン>モンスター図鑑/1925]]|神/体力|BGCOLOR(#a6f1f1):水闇|
|1926|[[破天の雷霆龍・インドラ>モンスター図鑑/1926]]|ドラゴン/バランス|BGCOLOR(#f1f1a6):光光|
|1927|[[深獄の暗黒龍・ヴリトラ>モンスター図鑑/1927]]|ドラゴン/悪魔|BGCOLOR(#bba6f1):闇闇|
|1928|[[覚醒ヴィーナス>モンスター図鑑/1928]]|悪魔/回復|BGCOLOR(#f1f1a6):光水|
|1929|[[まめティラ>モンスター図鑑/1929]]|ドラゴン|BGCOLOR(#f1bba6):火|
|1930|[[まめプレシィ>モンスター図鑑/1930]]|ドラゴン|BGCOLOR(#a6f1f1):水|
|1931|[[まめブラッキィ>モンスター図鑑/1931]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|1932|[[ミニへら>モンスター図鑑/1932]]|神|BGCOLOR(#bba6f1):闇|
|1933|[[覚醒・ミニへら>モンスター図鑑/1933]]|悪魔/神|BGCOLOR(#bba6f1):闇|
|1934|[[ミニぷらん>モンスター図鑑/1934]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|1935|[[覚醒・ミニぷらん>モンスター図鑑/1935]]|ドラゴン|BGCOLOR(#a6f1f1):水木|
|1936|[[カピバラさんとホワイトさん>モンスター図鑑/1936]]|体力/回復|BGCOLOR(#bbf1a6):木水|
|1937|[[最強戦士・超ベジット>モンスター図鑑/1937]]|攻撃/ドラゴン|BGCOLOR(#f1bba6):火闇|
|1938|[[超サイヤ人3・ゴテンクス>モンスター図鑑/1938]]|攻撃/ドラゴン|BGCOLOR(#a6f1f1):水火|
|1939|[[パーフェクトセル>モンスター図鑑/1939]]|悪魔/ドラゴン|BGCOLOR(#bbf1a6):木闇|
|1940|[[ウーブ>モンスター図鑑/1940]]|攻撃/ドラゴン|BGCOLOR(#f1f1a6):光|
|1941|[[南の島の少年・ウーブ>モンスター図鑑/1941]]|攻撃/ドラゴン|BGCOLOR(#f1f1a6):光火|
|1942|[[帰ってきたサイヤ人・ベジータ>モンスター図鑑/1942]]|攻撃/ドラゴン|BGCOLOR(#bba6f1):闇光|
|1943|[[ブウチョコ>モンスター図鑑/1943]]|強化合成用|BGCOLOR(#f1f1a6):光|
|1944|[[かぐや姫>モンスター図鑑/1944]]|回復|BGCOLOR(#bbf1a6):木|
|1945|[[竹取の翠月花・かぐや姫>モンスター図鑑/1945]]|回復/神|BGCOLOR(#bbf1a6):木光|
|1946|[[赤龍契士・ガディウス>モンスター図鑑/1946]]|ドラゴン|BGCOLOR(#f1bba6):火|
|1947|[[浄雷の赤龍契士・ガディウス>モンスター図鑑/1947]]|ドラゴン/回復|BGCOLOR(#f1bba6):火光|
|1948|[[黒龍契士・ティフォン>モンスター図鑑/1948]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|1949|[[滅雷の黒龍契士・ティフォン>モンスター図鑑/1949]]|ドラゴン/バランス|BGCOLOR(#bba6f1):闇水|
|1950|[[白獣魔・イルム>モンスター図鑑/1950]]|悪魔|BGCOLOR(#f1f1a6):光火|
|1951|[[創書の白幻魔・イルム>モンスター図鑑/1951]]|悪魔/攻撃|BGCOLOR(#f1f1a6):光火|
|1952|[[黒獣魔・ズオー>モンスター図鑑/1952]]|悪魔|BGCOLOR(#bba6f1):闇木|
|1953|[[憤激の黒幻魔・ズオー>モンスター図鑑/1953]]|悪魔/体力|BGCOLOR(#bba6f1):闇木|
|1954|[[覚醒シヴァ>モンスター図鑑/1954]]|攻撃/悪魔|BGCOLOR(#f1bba6):火火|
|1955|[[覚醒ラクシュミー>モンスター図鑑/1955]]|体力/神|BGCOLOR(#a6f1f1):水水|
|1956|[[覚醒パールヴァティー>モンスター図鑑/1956]]|バランス/悪魔|BGCOLOR(#bbf1a6):木木|
|1957|[[火の猫龍・シマニャドラ>モンスター図鑑/1957]]|ドラゴン|BGCOLOR(#f1bba6):火|
|1958|[[水の猫龍・ロシニャドラ>モンスター図鑑/1958]]|ドラゴン|BGCOLOR(#a6f1f1):水|
|1959|[[木の猫龍・ミケニャドラ>モンスター図鑑/1959]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|1960|[[光の猫龍・ペルニャドラ>モンスター図鑑/1960]]|ドラゴン|BGCOLOR(#f1f1a6):光|
|1961|[[闇の猫龍・クロニャドラ>モンスター図鑑/1961]]|ドラゴン|BGCOLOR(#bba6f1):闇|
|1962|[[アカデビニャン>モンスター図鑑/1962]]|悪魔|BGCOLOR(#f1bba6):火|
|1963|[[アオデビニャン>モンスター図鑑/1963]]|悪魔|BGCOLOR(#a6f1f1):水|
|1964|[[ミドリデビニャン>モンスター図鑑/1964]]|悪魔|BGCOLOR(#bbf1a6):木|
|1965|[[シロデビニャン>モンスター図鑑/1965]]|悪魔|BGCOLOR(#f1f1a6):光|
|1966|[[クロデビニャン>モンスター図鑑/1966]]|悪魔|BGCOLOR(#bba6f1):闇|
|1967|[[聖龍王サイガ アナザー>モンスター図鑑/1967]]|ドラゴン|BGCOLOR(#bbf1a6):木|
|1968|[[光龍王サイガ アナザー>モンスター図鑑/1968]]|ドラゴン|BGCOLOR(#bbf1a6):木光|
|1969|[[神羅聖龍神サイガ アナザー>モンスター図鑑/1969]]|ドラゴン/神|BGCOLOR(#bbf1a6):木光|
|1970|[[魔戦姫アスモディエス アナザー>モンスター図鑑/1970]]|悪魔|BGCOLOR(#bba6f1):闇|
|1971|[[幻魔王アスモ・デウス アナザー>モンスター図鑑/1971]]|悪魔/回復|BGCOLOR(#bba6f1):闇木|
|1972|[[炎鎚のキリコ アナザー>モンスター図鑑/1972]]|回復|BGCOLOR(#f1bba6):火|
|1973|[[光翼聖天キリコ アナザー>モンスター図鑑/1973]]|回復/攻撃|BGCOLOR(#f1bba6):火光|
|1974|[[神羅魔導神メビウス>モンスター図鑑/1974]]|悪魔/神|BGCOLOR(#bba6f1):闇光|
|1975|[[神羅聖魔神アーク>モンスター図鑑/1975]]|バランス/神|BGCOLOR(#bba6f1):闇木|
|1976|[[神羅光龍神リュウガ>モンスター図鑑/1976]]|ドラゴン/神|BGCOLOR(#f1f1a6):光光|
|1977|[[神羅黄金神マキシウス>モンスター図鑑/1977]]|回復/神|BGCOLOR(#f1f1a6):光水|
|1978|[[神羅終極神カイ>モンスター図鑑/1978]]|悪魔/神|BGCOLOR(#bba6f1):闇光|
|1979|[[神羅魂獣神サイ>モンスター図鑑/1979]]|ドラゴン/神|BGCOLOR(#f1bba6):火闇|
|1980|[[神羅太陽神アポロ>モンスター図鑑/1980]]|攻撃/神|BGCOLOR(#f1bba6):火水|
|1981|[[神羅聖龍神サイガ>モンスター図鑑/1981]]|ドラゴン/神|BGCOLOR(#bbf1a6):木光|
|1982|[[真城火牙刀>モンスター図鑑/1982]]|攻撃|BGCOLOR(#f1bba6):火|
|1983|[[烈火の火牙刀>モンスター図鑑/1983]]|攻撃|BGCOLOR(#f1bba6):火火|
|1984|[[水晶天子ヒカリ・天地>モンスター図鑑/1984]]|回復|BGCOLOR(#f1f1a6):光|
|1985|[[水晶天子ヒカリ・一鬼>モンスター図鑑/1985]]|回復|BGCOLOR(#f1f1a6):光光|
|1986|[[フロギスト>モンスター図鑑/1986]]|バランス|BGCOLOR(#f1bba6):火|
|1987|[[ベム・ギスト>モンスター図鑑/1987]]|バランス|BGCOLOR(#f1bba6):火|
|1988|[[雪獣イエイエ>モンスター図鑑/1988]]|体力|BGCOLOR(#a6f1f1):水|
|1989|[[ゴン・イエイエ>モンスター図鑑/1989]]|体力|BGCOLOR(#a6f1f1):水|
|1990|[[ガードナー・ポーチカ>モンスター図鑑/1990]]|回復|BGCOLOR(#bbf1a6):木|
|1991|[[ルル・ポーチカ>モンスター図鑑/1991]]|回復|BGCOLOR(#bbf1a6):木|
|1992|[[ラード>モンスター図鑑/1992]]|悪魔|BGCOLOR(#bba6f1):闇|
|1993|[[ヘル・ラード>モンスター図鑑/1993]]|悪魔|BGCOLOR(#bba6f1):闇|
|1994|[[アスモディエス アナザー カード>モンスター図鑑/1994]]|強化合成用|BGCOLOR(#bba6f1):闇|
|1995|[[炎鎚のキリコ アナザー カード>モンスター図鑑/1995]]|強化合成用|BGCOLOR(#f1bba6):火|
|1996|[[神羅魔導神メビウス カード>モンスター図鑑/1996]]|強化合成用|BGCOLOR(#bba6f1):闇光|
|1997|[[神羅聖魔神アーク カード>モンスター図鑑/1997]]|強化合成用|BGCOLOR(#bba6f1):闇木|
|1998|[[神羅光龍神リュウガ カード>モンスター図鑑/1998]]|強化合成用|BGCOLOR(#f1f1a6):光光|
|1999|[[神羅黄金神マキシウス カード>モンスター図鑑/1999]]|強化合成用|BGCOLOR(#f1f1a6):光水|
|2000|[[神羅終極神カイ カード>モンスター図鑑/2000]]|強化合成用|BGCOLOR(#bba6f1):闇光|
|2001&aname(no2001);|[[神羅魂獣神サイ カード>モンスター図鑑/2001]]|強化合成用|BGCOLOR(#f1bba6):火闇|
|2002|[[神羅太陽神アポロ カード>モンスター図鑑/2002]]|強化合成用|BGCOLOR(#f1bba6):火水|
|2003|[[神羅聖龍神サイガ カード>モンスター図鑑/2003]]|強化合成用|BGCOLOR(#bbf1a6):木光|
|2004|[[ウエハーマンパパ>モンスター図鑑/2004]]|強化合成用|BGCOLOR(#f1f1a6):光|
|2005|[[世界一強いアメ玉>モンスター図鑑/2005]]|強化合成用|BGCOLOR(#bba6f1):闇|
|2006|[[天下御免の大泥棒・石川五右衛門>モンスター図鑑/2006]]|体力/ドラゴン|BGCOLOR(#f1bba6):火光|
|2007|[[スフィンクス>モンスター図鑑/2007]]|悪魔|BGCOLOR(#f1bba6):火|
|2008|[[覚醒スフィンクス>モンスター図鑑/2008]]|悪魔/体力|BGCOLOR(#f1bba6):火光|
|2009|[[覚醒ホルス>モンスター図鑑/2009]]|悪魔/神|BGCOLOR(#f1bba6):火闇|
|2010|[[覚醒イシス>モンスター図鑑/2010]]|悪魔/神|BGCOLOR(#a6f1f1):水木|
|2011|[[覚醒バステト>モンスター図鑑/2011]]|悪魔/バランス|BGCOLOR(#bbf1a6):木火|
|2012|[[覚醒ラー>モンスター図鑑/2012]]|悪魔/神|BGCOLOR(#f1f1a6):光火|
|2013|[[覚醒アヌビス>モンスター図鑑/2013]]|悪魔/神|BGCOLOR(#bba6f1):闇火|
|2014|[[生徒会長・ルシファー>モンスター図鑑/2014]]|神/攻撃|BGCOLOR(#f1f1a6):光闇|
|2015|[[風紀委員長・アテナ>モンスター図鑑/2015]]|神/攻撃|BGCOLOR(#bbf1a6):木光|
|2016|[[学級委員長・アテナ>モンスター図鑑/2016]]|神/回復|BGCOLOR(#bbf1a6):木光|
|2017|[[特待生・イシス>モンスター図鑑/2017]]|攻撃/回復|BGCOLOR(#a6f1f1):水闇|
|2018|[[↑↑先輩・ヘラ・ウルズ>モンスター図鑑/2018]]|悪魔/神|BGCOLOR(#f1bba6):火闇|
