* モンスター（以前の形式）  [#de0cefec]

- パラメータについては各モンスターの詳細ページを参照してださい。
- 関連ページ
-- [[モンスター図鑑/最大値]]
-- [[入手方法]]
-- [[覚醒スキル]]

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]]

#style(class=enableFilter){{
|~No|~名称			|~☆|~タイプ|~属|~CO|~スキル|~リーダースキル|~最大Lv|h
|1288|[[パトリシア・エゼル>モンスター図鑑/1288]]	|4|体力|BGCOLOR(#f1f1a6):光|10|攻撃態勢・光|勝利を我が手に|50(300)|
|1289|[[パトリシア＆ヴァルキリー>モンスター図鑑/1289]]	|5|体力|BGCOLOR(#f1f1a6):光光|20|攻撃態勢・光|これが騎士の誇りだ|99(300)|
|1290|[[アンリ・ボーラム>モンスター図鑑/1290]]	|4|悪魔|BGCOLOR(#bba6f1):闇|10|ヘルボール|遊んでおいで|50(300)|
|1291|[[アンリ＆カオスデビルドラゴン>モンスター図鑑/1291]]	|5|悪魔/ドラゴン|BGCOLOR(#bba6f1):闇闇|20|ヘルボール|キミちょっと邪魔だよ|99(300)|
|1292|[[ティンニン>モンスター図鑑/1292]]	|5|ドラゴン|BGCOLOR(#f1f1a6):光|12|ハイヒール|がんばるの|50(400)|
|1293|[[ティンニン＆エンジェル>モンスター図鑑/1293]]	|6|ドラゴン/回復|BGCOLOR(#f1f1a6):光光|25|ハイヒール|全力でいくの|99(400)|
|1294|[[古代の蒼神面>モンスター図鑑/1294]]	|6|進化用|BGCOLOR(#a6f1f1):水|99|（※不定期に変更）|なし|1|
|1295|[[古代の碧神面>モンスター図鑑/1295]]	|6|進化用|BGCOLOR(#bbf1a6):木|99|（※不定期に変更）|なし|1|
|1296|[[岩戸の芸女神・アメノウズメ>モンスター図鑑/1296]]	|7|神/攻撃|BGCOLOR(#f1bba6):火火|35|癒しの鼓舞|天尊の秘焔舞|99(400)|
|1297|[[護恵の漁猟神・ウミサチヤマサチ>モンスター図鑑/1297]]	|7|神/回復|BGCOLOR(#a6f1f1):水木|35|山海の秘儀|山海の至宝|99(400)|
|1298|[[献身の巫女神・クシナダヒメ>モンスター図鑑/1298]]	|7|神/回復|BGCOLOR(#bbf1a6):木木|35|聡明なる神護|撫子の想い|99(400)|
|1299|[[天道の皇祖神・イザナギ>モンスター図鑑/1299]]	|7|神/体力|BGCOLOR(#f1f1a6):光光|35|創造の息吹|現世の超神効|99(400)|
|1300|[[漫遊の国造神・オオクニヌシ>モンスター図鑑/1300]]	|7|神/体力|BGCOLOR(#bba6f1):闇闇|35|国建の妙技|結縁の秘奥義|99(400)|
|1301&aname(no1301);|[[ディノライダー・ワイルドドレーク>モンスター図鑑/1301]]	|7|攻撃/ドラゴン|BGCOLOR(#f1bba6):火木|23|ダブルドロップ変化・火木|背水の陣|99(300)|
|1302|[[ビーストライダー・ウィズマーリン>モンスター図鑑/1302]]	|7|攻撃/悪魔|BGCOLOR(#a6f1f1):水火|23|ダブルドロップ変化・水火|背水の陣|99(300)|
|1303|[[マリンライダー・バードロビン>モンスター図鑑/1303]]	|7|攻撃/悪魔|BGCOLOR(#bbf1a6):木水|23|ダブルドロップ変化・木水|背水の陣|99(300)|
|1304|[[ドラゴンライダー・キングアーサー>モンスター図鑑/1304]]	|7|攻撃/ドラゴン|BGCOLOR(#f1f1a6):光闇|23|ダブルドロップ変化・光闇|背水の陣|99(300)|
|1305|[[グリプスライダー・ベクターフィン>モンスター図鑑/1305]]	|7|攻撃/悪魔|BGCOLOR(#bba6f1):闇光|23|ダブルドロップ変化・闇光|背水の陣|99(300)|
|1306|[[ワダツミ>モンスター図鑑/1306]]	|6|神/バランス|BGCOLOR(#a6f1f1):水|20|時の潮騒|海神の霊宝|50(400)|
|1307|[[覚醒ワダツミ>モンスター図鑑/1307]]	|7|神/バランス|BGCOLOR(#a6f1f1):水闇|30|時の潮騒|海神の霊宝|99(400)|
|1308|[[月夜花>モンスター図鑑/1308]]	|3|回復|BGCOLOR(#f1bba6):火|5|なし|火の魔力|25(150)|
|1309|[[金色の妖狐・月夜花>モンスター図鑑/1309]]	|4|回復|BGCOLOR(#f1bba6):火|10|ダブル防御態勢・火|火の魔力|70(300)|
|1310|[[ハティーベベ>モンスター図鑑/1310]]	|3|バランス|BGCOLOR(#a6f1f1):水|5|なし|水の魔力|25(150)|
|1311|[[暴風の牙狼・ハティー>モンスター図鑑/1311]]	|4|バランス|BGCOLOR(#a6f1f1):水|10|エールヒール|水の魔力|70(300)|
|1312|[[ミストレス>モンスター図鑑/1312]]	|3|攻撃|BGCOLOR(#bbf1a6):木|5|なし|木の魔力|25(150)|
|1313|[[紫電の女王蜂・ミストレス>モンスター図鑑/1313]]	|4|攻撃|BGCOLOR(#bbf1a6):木|10|ロックシールド|木の魔力|70(300)|
|1314|[[スケゴルト>モンスター図鑑/1314]]	|3|強化用|BGCOLOR(#f1f1a6):光|1|ホーリーボール|なし|1|
|1315|[[バフォメット>モンスター図鑑/1315]]	|4|悪魔|BGCOLOR(#bba6f1):闇|11|ダークストライク|悪魔の力|50(150)|
|1316|[[冥界の邪神・バフォメット>モンスター図鑑/1316]]	|5|悪魔|BGCOLOR(#bba6f1):闇|21|ヘルボール|悪魔の力|99(300)|
|1317|[[キングマスターリング>モンスター図鑑/1317]]	|6|体力|BGCOLOR(#f1bba6):火火|60|ドロップリフレッシュ|スーパーラッキー|99(400)|
|1318|[[ECO・スーパータイニー・アルマ>モンスター図鑑/1318]]	|6|バランス|BGCOLOR(#f1f1a6):光光|28|チェンジ・ザ・ワールド|タイニーフラッシュ|99(300)|
|1319|[[I LOVE パズドラベア>モンスター図鑑/1319]]	|4|神|BGCOLOR(#f1f1a6):光|10|BEAMSビーム|ワンダーベア|99(300)|
|1320|[[樹龍戦姫・セイントプラン>モンスター図鑑/1320]]	|6|ドラゴン/バランス|BGCOLOR(#bbf1a6):木水|30|フリーズバースト|龍戦姫の祝福|99(400)|
|1321|[[ブルード>モンスター図鑑/1321]]	|3|ドラゴン|BGCOLOR(#a6f1f1):水|10|フリーズバースト|なし|70(100)|
|1322|[[GC CRAB Ver.3>モンスター図鑑/1322]]	|7|バランス|BGCOLOR(#f1f1a6):光光|60|グルーヴコースター|超テンションMAX|99(400)|
|1323|[[キングデビたま>モンスター図鑑/1323]]	|6|強化用|BGCOLOR(#bba6f1):闇|1|いじわる|コインいっぱいたまぁ～|1|
|1324|[[超絶キングメタルドラゴン>モンスター図鑑/1324]]	|7|強化用/神|BGCOLOR(#bba6f1):闇|1|創造の息吹|なし|1|
|1325|[[火の宝玉>モンスター図鑑/1325]]	|7|進化用|BGCOLOR(#f1bba6):火|1|朱雀七星陣|なし|1|
|1326|[[水の宝玉>モンスター図鑑/1326]]	|7|進化用|BGCOLOR(#a6f1f1):水|1|青龍七星陣|なし|1|
|1327|[[木の宝玉>モンスター図鑑/1327]]	|7|進化用|BGCOLOR(#bbf1a6):木|1|玄武七星陣|なし|1|
|1328|[[光の宝玉>モンスター図鑑/1328]]	|7|進化用|BGCOLOR(#f1f1a6):光|1|英龍の守り|なし|1|
|1329|[[闇の宝玉>モンスター図鑑/1329]]	|7|進化用|BGCOLOR(#bba6f1):闇|1|白虎七星陣|なし|1|
|1330|[[クリシュナ>モンスター図鑑/1330]]	|5|神|BGCOLOR(#f1bba6):火|15|火の目覚め|双炎のチャクラ|50(400)|
|1331|[[勇将神・クリシュナ>モンスター図鑑/1331]]	|6|神|BGCOLOR(#f1bba6):火|25|火の目覚め|双炎のチャクラ|99(400)|
|1332|[[サラスヴァティ>モンスター図鑑/1332]]	|5|神|BGCOLOR(#a6f1f1):水|15|水の目覚め|水聖の孔雀|50(400)|
|1333|[[聖流の女神・サラスヴァティ>モンスター図鑑/1333]]	|6|神|BGCOLOR(#a6f1f1):水|25|水の目覚め|水聖の孔雀|99(400)|
|1334|[[ヴィシュヌ>モンスター図鑑/1334]]	|5|神|BGCOLOR(#bbf1a6):木|15|木の目覚め|創界の錫杖|50(400)|
|1335|[[創界神・ヴィシュヌ>モンスター図鑑/1335]]	|6|神|BGCOLOR(#bbf1a6):木|25|木の目覚め|創界の錫杖|99(400)|
|1336|[[ガネーシャ>モンスター図鑑/1336]]	|5|神|BGCOLOR(#f1f1a6):光|15|苦難打破の知恵|商売の学問|50(400)|
|1337|[[学問神・ガネーシャ>モンスター図鑑/1337]]	|6|神|BGCOLOR(#f1f1a6):光|25|苦難打破の知恵|商売の学問|99(400)|
|1338|[[ドゥルガー>モンスター図鑑/1338]]	|5|神|BGCOLOR(#bba6f1):闇|15|神器の一撃|四源の刃|50(400)|
|1339|[[魔討の女神・ドゥルガー>モンスター図鑑/1339]]	|6|神|BGCOLOR(#bba6f1):闇火|25|神器の一撃|四源の刃|99(400)|
|1340|[[?>モンスター図鑑/1340]]	||||||||
|1341|[[?>モンスター図鑑/1341]]	||||||||
|1342|[[星輝の黄龍帝・ファガン>モンスター図鑑/1342]]	|8|ドラゴン/体力|BGCOLOR(#f1f1a6):光光|60|四神乱舞|真・天極星龍掌|99(500)|
|1343|[[絶冥の黄龍神・ファガン>モンスター図鑑/1343]]	|8|神/ドラゴン|BGCOLOR(#bba6f1):闇光|60|四神乱舞|双絶龍神掌|99(500)|
|1344|[[龍剣の勝利神・フレイ>モンスター図鑑/1344]]	|7|神/ドラゴン|BGCOLOR(#f1bba6):火光|35|フレイムエンハンス|猛き龍剣の導き|99(400)|
|1345|[[永久の双星神・イズン＆イズーナ>モンスター図鑑/1345]]	|7|神/回復|BGCOLOR(#a6f1f1):水光|35|ウォーターエンハンス|双つ星の共鳴|99(400)|
|1346|[[煌樹の豊麗神・フレイヤ>モンスター図鑑/1346]]	|7|神/バランス|BGCOLOR(#bbf1a6):木光|35|アースエンハンス|豊麗神の抱擁|99(400)|
|1347|[[奪還の雷戦神・トール>モンスター図鑑/1347]]	|7|神/攻撃|BGCOLOR(#f1f1a6):光木|35|サンダーエンハンス|雷戦神の強襲|99(400)|
|1348|[[暗躍の狡知神・ロキ>モンスター図鑑/1348]]	|7|悪魔/バランス|BGCOLOR(#bba6f1):闇水|35|ダークエンハンス|トリックスターの悪戯|99(400)|
|1349|[[エクサ・ヒドラ>モンスター図鑑/1349]]	|4|ドラゴン|BGCOLOR(#f1bba6):火|12|威圧|ドラゴンフォース|50(150)|
|1350|[[ゼータ・ヒドラ>モンスター図鑑/1350]]	|5|ドラゴン|BGCOLOR(#f1bba6):火火|22|威圧|ドラゴンフォース|99(300)|
|1351|[[ウッドバーン>モンスター図鑑/1351]]	|4|ドラゴン|BGCOLOR(#bbf1a6):木|12|グランドハウル|ドラゴンスピリット|50(150)|
|1352|[[フォレストバーン>モンスター図鑑/1352]]	|5|ドラゴン|BGCOLOR(#bbf1a6):木木|22|グランドハウル|ドラゴンスピリット|99(300)|
|1353|[[雷龍・キリサメ>モンスター図鑑/1353]]	|4|ドラゴン|BGCOLOR(#f1f1a6):光|12|ライトニングハウル|ドラゴンソウル|50(150)|
|1354|[[幻雷龍・サギリノカミ>モンスター図鑑/1354]]	|5|ドラゴン|BGCOLOR(#f1f1a6):光光|22|ライトニングハウル|ドラゴンソウル|99(300)|
|1355|[[アニマ>モンスター図鑑/1355]]	|5|ドラゴン|BGCOLOR(#f1bba6):火|15|ミラージュフレア|ドラゴンブレイズ|50(150)|
|1356|[[幻影龍・アニマ>モンスター図鑑/1356]]	|6|ドラゴン/悪魔|BGCOLOR(#f1bba6):火闇|25|ミラージュフレア|ドラゴンブレイズ|99(400)|
|1357|[[カースドラゴン>モンスター図鑑/1357]]	|5|ドラゴン|BGCOLOR(#bba6f1):闇|15|ブラッドハウル|ネクロソウル|50(150)|
|1358|[[不死龍・カースドラゴン>モンスター図鑑/1358]]	|6|ドラゴン/悪魔|BGCOLOR(#bba6f1):闇闇|25|ブラッドハウル|ネクロソウル|99(400)|
|1359|[[アポカリプス>モンスター図鑑/1359]]	|5|ドラゴン|BGCOLOR(#f1f1a6):光|30|ラストジャッジメント|ファイナルカラミティ|50(500)|
|1360|[[破壊龍・アポカリプス>モンスター図鑑/1360]]	|6|ドラゴン/神|BGCOLOR(#f1f1a6):光光|50|ラストジャッジメント|ファイナルカラミティ|99(500)|
|1361|[[焔土の龍騎姫・卑弥呼>モンスター図鑑/1361]]	|6|ドラゴン/回復|BGCOLOR(#f1bba6):火|25|錬成の焔術|焔土龍の絆|99(400)|
|1362|[[秘海の龍騎姫・クレオパトラ>モンスター図鑑/1362]]	|6|ドラゴン/バランス|BGCOLOR(#a6f1f1):水|25|誘惑の毒牙|秘海龍の絆|99(400)|
|1363|[[天風の龍騎姫・イシュタル>モンスター図鑑/1363]]	|6|ドラゴン/体力|BGCOLOR(#bbf1a6):木|25|風雲の神剣|天風龍の絆|99(400)|
|1364|[[聖刻の龍騎姫・ジャンヌダルク>モンスター図鑑/1364]]	|6|ドラゴン/攻撃|BGCOLOR(#f1f1a6):光|25|聖女の号令|聖刻龍の絆|99(400)|
|1365|[[月影の龍騎姫・ムーラン>モンスター図鑑/1365]]	|6|ドラゴン/バランス|BGCOLOR(#bba6f1):闇|25|夢幻の霊剣|月影龍の絆|99(400)|
|1366|[[ファイロン>モンスター図鑑/1366]]	|2|ドラゴン|BGCOLOR(#f1bba6):火|4|主我覇道の編纂|なし|30(150)|
|1367|[[ウォーロン>モンスター図鑑/1367]]	|2|ドラゴン|BGCOLOR(#a6f1f1):水|4|虚心担懐の慧眼|なし|30(150)|
|1368|[[ウィンロン>モンスター図鑑/1368]]	|2|ドラゴン|BGCOLOR(#bbf1a6):木|4|捲土重来の引導|なし|30(150)|
|1369|[[シャイロン>モンスター図鑑/1369]]	|2|ドラゴン|BGCOLOR(#f1f1a6):光|4|則天去私の献身|なし|30(150)|
|1370|[[シャドロン>モンスター図鑑/1370]]	|2|ドラゴン|BGCOLOR(#bba6f1):闇|4|天下無双の崩撃|なし|30(150)|
|1371|[[獄羅苦狂魔皇・ベルゼブブ>モンスター図鑑/1371]]	|8|悪魔/攻撃|BGCOLOR(#bba6f1):闇闇|70|ヘルズチャージ|デモンズヘッド|99(500)|
|1372|[[臥龍神・諸葛亮>モンスター図鑑/1372]]	|5|神/攻撃|BGCOLOR(#bbf1a6):木|30|百戦百勝の求道|開化の兵法|50(500)|
|1373|[[俊才の臥龍神・諸葛亮>モンスター図鑑/1373]]	|6|神/攻撃|BGCOLOR(#bbf1a6):木闇|50|百戦百勝の求道|開化の兵法|99(500)|
|1374|[[命龍神・諸葛亮>モンスター図鑑/1374]]	|6|神/回復|BGCOLOR(#f1f1a6):光|40|水明星心の占術|天界の八陣|50(500)|
|1375|[[天星の命龍神・諸葛亮>モンスター図鑑/1375]]	|7|神/回復|BGCOLOR(#f1f1a6):光水|60|水明星心の占術|天界の八陣|99(500)|
|1376|[[フリーザ・第1形態>モンスター図鑑/1376]]	|4|悪魔/ドラゴン|BGCOLOR(#bba6f1):闇|10|デスボール|ゆ…ゆるさん…|30(150)|
|1377|[[フリーザ・第2形態>モンスター図鑑/1377]]	|5|悪魔/ドラゴン|BGCOLOR(#bba6f1):闇|20|デスボール|そうあわてるなよ…|50(200)|
|1378|[[フリーザ・第3形態>モンスター図鑑/1378]]	|6|悪魔/ドラゴン|BGCOLOR(#bba6f1):闇|30|デスボール|どぉれちょっと拝見|70(300)|
|1379|[[フリーザ・最終形態>モンスター図鑑/1379]]	|7|悪魔/ドラゴン|BGCOLOR(#bba6f1):闇闇|40|デスボール|お待ちかね100パーセント!|99(500)|
|1380|[[ザーボン>モンスター図鑑/1380]]	|4|体力/ドラゴン|BGCOLOR(#bba6f1):闇|10|変身|うぬぼれやがって……!|50(150)|
|1381|[[フリーザの側近・ザーボン>モンスター図鑑/1381]]	|5|体力/ドラゴン|BGCOLOR(#bba6f1):闇闇|20|変身|笑わせるんじゃない!!|99(350)|
|1382|[[リクーム>モンスター図鑑/1382]]	|3|体力/ドラゴン|BGCOLOR(#f1f1a6):光|8|なし|リクーム!!!|35(150)|
|1383|[[ギニュー特戦隊・リクーム>モンスター図鑑/1383]]	|4|体力/ドラゴン|BGCOLOR(#f1f1a6):光|12|リクーム…ウルトラ…|あの世に送ってやるぜ!!!|70(300)|
|1384|[[バータ>モンスター図鑑/1384]]	|3|攻撃/ドラゴン|BGCOLOR(#a6f1f1):水|8|なし|バータ!!!|35(150)|
|1385|[[ギニュー特戦隊・バータ>モンスター図鑑/1385]]	|4|攻撃/ドラゴン|BGCOLOR(#a6f1f1):水|12|マッハキック|ア…アタマにきたぜ…!|70(300)|
|1386|[[ジース>モンスター図鑑/1386]]	|3|バランス/ドラゴン|BGCOLOR(#f1bba6):火|8|なし|ジース!!!|35(150)|
|1387|[[ギニュー特戦隊・ジース>モンスター図鑑/1387]]	|4|バランス/ドラゴン|BGCOLOR(#f1bba6):火|12|クラッシャーボール|ちっ…しょうがないな……|70(300)|
|1388|[[グルド>モンスター図鑑/1388]]	|3|バランス/ドラゴン|BGCOLOR(#bbf1a6):木|8|なし|グルド!!!|35(150)|
|1389|[[ギニュー特戦隊・グルド>モンスター図鑑/1389]]	|4|バランス/ドラゴン|BGCOLOR(#bbf1a6):木|12|サイコキネシス|きええええーっ!!!!|70(300)|
|1390|[[ギニュー>モンスター図鑑/1390]]	|4|バランス/ドラゴン|BGCOLOR(#bba6f1):闇|10|なし|なし|35(150)|
|1391|[[ギニュー特戦隊・ギニュー>モンスター図鑑/1391]]	|5|バランス/ドラゴン|BGCOLOR(#bba6f1):闇闇|15|ミルキーキャノン|ギニュー特戦隊!!!!|99(350)|
|1392|[[サイバイマン>モンスター図鑑/1392]]	|3|攻撃/ドラゴン|BGCOLOR(#bbf1a6):木|10|自爆|なし|50(150)|
|1393|[[カリン様>モンスター図鑑/1393]]	|3|強化用/ドラゴン|BGCOLOR(#f1f1a6):光|10|仙豆|なし|1|
|1394|[[孫 悟空>モンスター図鑑/1394]]	|5|体力/ドラゴン|BGCOLOR(#f1bba6):火|14|かめはめ波|おめえをぶったおす!!!|50(400)|
|1395|[[超サイヤ人・孫 悟空>モンスター図鑑/1395]]	|6|体力/ドラゴン|BGCOLOR(#f1bba6):火光|24|かめはめ波|おめえをぶったおす!!!|99(400)|
|1396|[[孫 悟飯>モンスター図鑑/1396]]	|5|バランス/ドラゴン|BGCOLOR(#a6f1f1):水|14|超かめはめ波|もうゆるさないぞ|50(400)|
|1397|[[超サイヤ人・孫 悟飯>モンスター図鑑/1397]]	|6|バランス/ドラゴン|BGCOLOR(#a6f1f1):水光|24|超かめはめ波|もうゆるさないぞ|99(400)|
|1398|[[ベジータ>モンスター図鑑/1398]]	|5|攻撃/ドラゴン|BGCOLOR(#bba6f1):闇|14|ファイナルフラッシュ|なめるなよーっ!!!!|50(400)|
|1399|[[超サイヤ人・ベジータ>モンスター図鑑/1399]]	|6|攻撃/ドラゴン|BGCOLOR(#bba6f1):闇光|24|ファイナルフラッシュ|なめるなよーっ!!!!|99(400)|
|1400|[[トランクス>モンスター図鑑/1400]]	|5|攻撃/ドラゴン|BGCOLOR(#a6f1f1):水|14|必殺剣|くたばれ!!!!!|50(400)|
|1401&aname(no1401);|[[超サイヤ人・トランクス>モンスター図鑑/1401]]	|6|攻撃/ドラゴン|BGCOLOR(#a6f1f1):水光|24|必殺剣|くたばれ!!!!!|99(400)|
|1402|[[ピッコロ>モンスター図鑑/1402]]	|4|悪魔/ドラゴン|BGCOLOR(#bbf1a6):木|10|魔貫光殺砲|うけてみろーっ!!!!!|50(300)|
|1403|[[ナメック戦士・ピッコロ>モンスター図鑑/1403]]	|5|悪魔/ドラゴン|BGCOLOR(#bbf1a6):木闇|20|魔貫光殺砲|うけてみろーっ!!!!!|99(350)|
|1404|[[クリリン>モンスター図鑑/1404]]	|4|バランス/ドラゴン|BGCOLOR(#f1f1a6):光|10|気円斬|こんにゃろーっ!!!!!|50(300)|
|1405|[[地球戦士・クリリン>モンスター図鑑/1405]]	|5|バランス/ドラゴン|BGCOLOR(#f1f1a6):光光|20|気円斬|こんにゃろーっ!!!!!|99(300)|
|1406|[[ヤムチャ>モンスター図鑑/1406]]	|4|バランス/ドラゴン|BGCOLOR(#f1bba6):火|10|繰気弾|意地でも勝ってみせるぜ|50(300)|
|1407|[[地球戦士・ヤムチャ>モンスター図鑑/1407]]	|5|バランス/ドラゴン|BGCOLOR(#f1bba6):火火|20|繰気弾|意地でも勝ってみせるぜ|99(300)|
|1408|[[天津飯>モンスター図鑑/1408]]	|4|攻撃/ドラゴン|BGCOLOR(#bbf1a6):木|10|気功砲|さあこいよ!|50(300)|
|1409|[[地球戦士・天津飯>モンスター図鑑/1409]]	|5|攻撃/ドラゴン|BGCOLOR(#bbf1a6):木木|20|気功砲|さあこいよ!|99(300)|
|1410|[[餃子>モンスター図鑑/1410]]	|4|バランス/ドラゴン|BGCOLOR(#bba6f1):闇|10|どどん波|おどろけ 攻撃してやる|50(300)|
|1411|[[地球戦士・餃子>モンスター図鑑/1411]]	|5|バランス/ドラゴン|BGCOLOR(#bba6f1):闇闇|20|どどん波|おどろけ 攻撃してやる|99(300)|
|1412|[[赤ずきん>モンスター図鑑/1412]]	|4|回復|BGCOLOR(#f1bba6):火|10|守護魔法・火|精霊のカゴ|50(300)|
|1413|[[森の元気娘・赤ずきん>モンスター図鑑/1413]]	|5|回復/体力|BGCOLOR(#f1bba6):火火|16|守護魔法・火|無邪気な微笑み|99(300)|
|1414|[[白雪姫>モンスター図鑑/1414]]	|4|体力|BGCOLOR(#a6f1f1):水|10|守護魔法・水|謎のリンゴ|50(300)|
|1415|[[小人の王女・白雪姫>モンスター図鑑/1415]]	|5|体力/神|BGCOLOR(#a6f1f1):水水|16|守護魔法・水|無垢なる眠り|99(300)|
|1416|[[おやゆび姫>モンスター図鑑/1416]]	|4|攻撃|BGCOLOR(#bbf1a6):木|10|守護魔法・木|妖精の花|50(300)|
|1417|[[四つ葉の王女・おやゆび姫>モンスター図鑑/1417]]	|5|攻撃/回復|BGCOLOR(#bbf1a6):木木|16|守護魔法・木|心優しき看護|99(300)|
|1418|[[シンデレラ>モンスター図鑑/1418]]	|4|体力|BGCOLOR(#f1f1a6):光|10|守護魔法・光|頑丈なカボチャ|50(300)|
|1419|[[白馬車の姫君・シンデレラ>モンスター図鑑/1419]]	|5|体力/神|BGCOLOR(#f1f1a6):光光|16|守護魔法・光|ガラスの魔法|99(300)|
|1420|[[ねむり姫>モンスター図鑑/1420]]	|4|バランス|BGCOLOR(#bba6f1):闇|10|守護魔法・闇|不思議な紡ぎ糸|50(300)|
|1421|[[イバラの王女・ねむり姫>モンスター図鑑/1421]] |5|バランス/悪魔|BGCOLOR(#bba6f1):闇闇|16|守護魔法・闇|百年間の睡魔|99(300)|
|1422|[[聖都の守護神・アテナ>モンスター図鑑/1422]]	|8|神/攻撃|BGCOLOR(#f1f1a6):光木|70|アイギスの煌き|ニケの聖歌|99(500)|
|1423|[[光槍の魔術神・オーディン>モンスター図鑑/1423]]	|7|神/バランス|BGCOLOR(#bbf1a6):木光|55|グングニール|守りの衣|99(400)|
|1424|[[張飛>モンスター図鑑/1424]]	|5|体力/攻撃|BGCOLOR(#bbf1a6):木|20|万夫不当の一喝|燕将の誓い|50(400)|
|1425|[[決死の燕将軍・張飛>モンスター図鑑/1425]]	|6|体力/攻撃|BGCOLOR(#bbf1a6):木火|25|万夫不当の一喝|燕将の誓い|99(400)|
|1426|[[青銅聖闘士・星矢>モンスター図鑑/1426]]	|4|体力|BGCOLOR(#f1f1a6):光|10|ペガサス流星拳|全力でたおすだけだぜ！|50(300)|
|1427|[[青銅聖闘士・天馬星座の星矢>モンスター図鑑/1427]]	|5|体力|BGCOLOR(#f1f1a6):光光|20|ペガサス流星拳|燃えろ オレの小宇宙よ！|99(300)|
|1428|[[青銅聖闘士・氷河>モンスター図鑑/1428]]	|4|バランス|BGCOLOR(#a6f1f1):水|10|ダイヤモンドダスト|かならずたおしてみせる！|50(300)|
|1429|[[青銅聖闘士・白鳥星座の氷河>モンスター図鑑/1429]]	|5|バランス|BGCOLOR(#a6f1f1):水水|20|ダイヤモンドダスト|舞え白鳥!!|99(300)|
|1430|[[青銅聖闘士・紫龍>モンスター図鑑/1430]]	|4|ドラゴン|BGCOLOR(#bbf1a6):木|10|廬山昇龍覇|正義とは不変のもの|50(350)|
|1431|[[青銅聖闘士・龍星座の紫龍>モンスター図鑑/1431]]	|5|ドラゴン|BGCOLOR(#bbf1a6):木木|20|廬山昇龍覇|のぼれ龍よ!天高く!!|99(350)|
|1432|[[青銅聖闘士・瞬>モンスター図鑑/1432]]	|4|回復|BGCOLOR(#f1bba6):火|10|ネビュラチェーン|ぼくはいかなければ…|50(300)|
|1433|[[青銅聖闘士・アンドロメダ星座の瞬>モンスター図鑑/1433]]	|5|回復|BGCOLOR(#f1bba6):火火|20|ネビュラチェーン|今度はぼくが相手だ！|99(300)|
|1434|[[青銅聖闘士・一輝>モンスター図鑑/1434]]	|5|攻撃|BGCOLOR(#f1bba6):火|12|鳳翼天翔|今度はおまえの番だぜ|50(400)|
|1435|[[青銅聖闘士・鳳凰星座の一輝>モンスター図鑑/1435]]	|6|攻撃/回復|BGCOLOR(#f1bba6):火闇|22|鳳翼天翔|最後にはおまえをたおす!!|99(400)|
|1436|[[グラード財団令嬢・沙織>モンスター図鑑/1436]]	|5|回復|BGCOLOR(#f1f1a6):光|12|黄金の杖|わたしひとりでも戦います|50(400)|
|1437|[[アテナの化身・沙織>モンスター図鑑/1437]]	|6|回復/神|BGCOLOR(#f1f1a6):光光|22|黄金の杖|わたしの星の運命なのです|99(400)|
|1438|[[黄金聖闘士・星矢>モンスター図鑑/1438]]	|5|バランス|BGCOLOR(#f1f1a6):光|12|ペガサス彗星拳|そこをどけ!!|50(400)|
|1439|[[黄金聖闘士・射手座の星矢>モンスター図鑑/1439]]	|6|バランス|BGCOLOR(#f1f1a6):光光|22|ペガサス彗星拳|燃えろ天馬!!|99(400)|
|1440|[[黄金聖闘士・アルデバラン>モンスター図鑑/1440]]	|3|体力|BGCOLOR(#f1bba6):火|8|なし|黄金の角をヘシおるだと？|25(150)|
|1441|[[黄金聖闘士・牡牛座のアルデバラン>モンスター図鑑/1441]]	|4|体力|BGCOLOR(#f1bba6):火光|18|ウルトラヒートアップ|グレートホーン!!|70(300)|
|1442|[[黄金聖闘士・サガ>モンスター図鑑/1442]]	|4|悪魔|BGCOLOR(#bba6f1):闇|20|アナザーディメンション|息の根をとめてやるぞ|50(200)|
|1443|[[黄金聖闘士・双子座のサガ>モンスター図鑑/1443]]	|5|悪魔|BGCOLOR(#bba6f1):闇光|40|アナザーディメンション|おれは神だ!!|99(500)|
|1444|[[黄金聖闘士・デスマスク>モンスター図鑑/1444]]	|3|悪魔|BGCOLOR(#bba6f1):闇|8|なし|往生際の悪いヤツだ！|25(150)|
|1445|[[黄金聖闘士・蟹座のデスマスク>モンスター図鑑/1445]]	|4|悪魔|BGCOLOR(#bba6f1):闇光|18|暗黒の結界|積尸気冥界波!!|70(300)|
|1446|[[黄金聖闘士・アイオリア>モンスター図鑑/1446]]	|3|攻撃|BGCOLOR(#f1f1a6):光|8|なし|うけろ獅子の牙を！|25(150)|
