* 進化合成 [#ze6474f1]

#style(class=panelNote){{
このページは編集者不足による更新停止中です。
//ちなみに編集は誰でも行うことが可能です･･･。
}}

- 一部モンスターはLv最大になると進化が可能になる
- 進化するためにはそれぞれ決められた素材モンスターが必要
-- 「爆炎龍ティラノス」に進化するのに必要なモンスターは「ティラノス」の欄を参照
-- 「なし」はこれ以上進化しないということ

//外部サイトのリンクは[[リンク]]へ

&color(,#eee){ページ内リンク};
[[001>#no001]] - [[101>#no101]] - [[201>#no201]] - [[301>#no301]] - [[401>#no401]] - [[501>#no501]] - [[601>#no601]] - [[701>#no701]] - [[801>#no801]] - [[901>#no901]] - [[1001>#no1001]] - [[1101>#no1101]] - [[1201>#no1201]] - [[1301>#no1301]] - [[1401>#no1401]] - [[1501>#no1501]] - [[1601>#no1601]] - [[1701>#no1701]] - [[1801>#no1801]] - [[1901>#no1901]] - [[2001>#no2001]] - [[2101>#no2101]] - [[2201>#no2201]] - [[2301>#no2301]]

#style(class=enableFilter){{
|~No|~ベースモンスター		|~進化に必要なモンスター|~進化結果|
|1080|[[碧天の果実・メロンドラゴン>モンスター図鑑/1080]]	|なし||
|1081|[[れもドラ>モンスター図鑑/1081]]	|&mons150; &mons152; &mons153; &mons154; &mons227;|[[黄天の果実・レモンドラゴン>モンスター図鑑/1082]]|
|1082|[[黄天の果実・レモンドラゴン>モンスター図鑑/1082]]	|なし||
|1083|[[ぶどドラ>モンスター図鑑/1083]]	|&mons151; &mons152; &mons153; &mons154; &mons227;|[[紫天の果実・ぶどうドラゴン>モンスター図鑑/1084]]|
|1084|[[紫天の果実・ぶどうドラゴン>モンスター図鑑/1084]]	|なし||
|1085|[[レッドドラゴンフルーツ>モンスター図鑑/1085]]	|なし||
|1086|[[ブルードラゴンフルーツ>モンスター図鑑/1086]]	|なし||
|1087|[[グリーンドラゴンフルーツ>モンスター図鑑/1087]]	|なし||
|1088|[[青龍喚士・ソニア>モンスター図鑑/1088]]	|&mons148; &mons321; &mons227; &mons247; &mons251;|[[永劫の青龍喚士・ソニア>モンスター図鑑/1089]]|
|1089|[[永劫の青龍喚士・ソニア>モンスター図鑑/1089]]	|なし||
|1090|[[ハリケーンボルケーノドラゴン>モンスター図鑑/1090]]	|なし||
|1091|[[ブラストオーロラドラゴン>モンスター図鑑/1091]]	|なし||
|1092|[[ジェネレイトアースドラゴン>モンスター図鑑/1092]]	|なし||
|1093|[[トルネードホーリードラゴン>モンスター図鑑/1093]]	|なし||
|1094|[[サイクロンデビルドラゴン>モンスター図鑑/1094]]	|なし||
|1095|[[水天双極星・リヴァイアサン>モンスター図鑑/1095]]	|なし||
|1096|[[風天双極星・ファフニール>モンスター図鑑/1096]]	|なし||
|1097|[[ヘラクレス>モンスター図鑑/1097]]	| &mons149; &mons149; &mons321; &mons234; &mons251;|[[試練の剛神・ヘラクレス>モンスター図鑑/1098]]|
|1098|[[試練の剛神・ヘラクレス>モンスター図鑑/1098]]	|なし||
|1099|[[紅蓮華の女傑・エキドナ>モンスター図鑑/1099]]	|なし||
|1100|[[綿津見の歌姫・セイレーン>モンスター図鑑/1100]]	|なし||
|1101&aname(no1101);|[[世界樹の精霊・アルラウネ>モンスター図鑑/1101]]	|なし||
|1102|[[神創樹の聖霊・アルラウネ>モンスター図鑑/1102]]	|なし||
|1103|[[天上界の使徒・エンジェル>モンスター図鑑/1103]]	|なし||
|1104|[[聖天地の守神・エンジェル>モンスター図鑑/1104]]	|なし||
|1105|[[月光牙の魔女・リリス>モンスター図鑑/1105]]	|なし||
|1106|[[漆黒夜の魔姫・リリス>モンスター図鑑/1106]]	|なし||
|1107|[[幻神・オーディン>モンスター図鑑/1107]]	|&mons321; &mons251; &mons246; &mons234; &mons171;|[[覚醒幻神・オーディン>モンスター図鑑/1108]]|
|1108|[[覚醒幻神・オーディン>モンスター図鑑/1108]]	|[[究極進化]]||
|1109|[[炎天双極星・イフリート>モンスター図鑑/1109]]	|なし||
|1110|[[光天双極星・神龍>モンスター図鑑/1110]]	|なし||
|1111|[[闇天双極星・ティアマット>モンスター図鑑/1111]]	|なし||
|1112|[[宿業の破壊神・シヴァ>モンスター図鑑/1112]]	|なし||
|1113|[[破戒の創造神・シヴァ>モンスター図鑑/1113]]	|なし||
|1114|[[招福の天女神・ラクシュミー>モンスター図鑑/1114]]	|なし||
|1115|[[紫蓮の吟女神・ラクシュミー>モンスター図鑑/1115]]	|なし||
|1116|[[白火の舞女神・パールヴァティー>モンスター図鑑/1116]]	|なし||
|1117|[[翠金の仙女神・パールヴァティー>モンスター図鑑/1117]]	|なし||
|1118|[[サンダルフォン>モンスター図鑑/1118]]	|&mons150; &mons321; &mons234; &mons247; &mons251;|[[覚醒サンダルフォン>モンスター図鑑/1119]]|
|1119|[[覚醒サンダルフォン>モンスター図鑑/1119]]	|なし||
|1120|[[バーサーカーＺ>モンスター図鑑/1120]]	|&mons147; &mons147; &mons171; &mons246; &mons251;|[[炎鎚の蛮勇・プロメテウス>モンスター図鑑/1121]]|
|1121|[[炎鎚の蛮勇・プロメテウス>モンスター図鑑/1121]]	|なし||
|1122|[[ウル・キマイラ>モンスター図鑑/1122]]	|&mons148; &mons172; &mons172; &mons247; &mons251;|[[ギーブル・キマイラ>モンスター図鑑/1123]]|
|1123|[[ギーブル・キマイラ>モンスター図鑑/1123]]	|なし||
|1124|[[グリムロック>モンスター図鑑/1124]]	|&mons149; &mons149; &mons173; &mons248; &mons251;|[[グリムクリストル>モンスター図鑑/1125]]|
|1125|[[グリムクリストル>モンスター図鑑/1125]]	|なし||
|1126|[[ラディウス>モンスター図鑑/1126]]	|&mons150; &mons174; &mons249; &mons249; &mons251;|[[アンジェリウス>モンスター図鑑/1127]]|
|1127|[[アンジェリウス>モンスター図鑑/1127]]	|なし||
|1128|[[ドラゴン・サムライ>モンスター図鑑/1128]]	|&mons151; &mons175; &mons227; &mons250; &mons251;|[[ドラゴン・ショウグン>モンスター図鑑/1129]]|
|1129|[[ドラゴン・ショウグン>モンスター図鑑/1129]]	|なし||
|1130|[[アヴァロンドレイク>モンスター図鑑/1130]]	|&mons149; &mons321; &mons234; &mons227; &mons251;|[[守護龍・アヴァロンドレイク>モンスター図鑑/1131]]|
|1131|[[守護龍・アヴァロンドレイク>モンスター図鑑/1131]]	|なし||
|1132|[[裏緋天龍・エルドラド>モンスター図鑑/1132]]	|なし||
|1133|[[裏蒼天龍・ニライカナイ>モンスター図鑑/1133]]	|なし||
|1134|[[裏聖天龍・シャングリラ>モンスター図鑑/1134]]	|なし||
|1135|[[裏夜天龍・エリュシオン>モンスター図鑑/1135]]	|なし||
|1136|[[キティホノりん>モンスター図鑑/1136]]	|&mons161; &mons155; &mons159;|[[キティホノワルりん>モンスター図鑑/1137]]|
|1137|[[キティホノワルりん>モンスター図鑑/1137]]	|なし||
|1138|[[キティアワりん>モンスター図鑑/1138]]	|&mons162; &mons155; &mons156;|[[キティアワホノりん>モンスター図鑑/1139]]|
|1139|[[キティアワホノりん>モンスター図鑑/1139]]	|なし||
|1140|[[キティモリりん>モンスター図鑑/1140]]	|&mons163; &mons156; &mons157;|[[キティモリアワりん>モンスター図鑑/1141]]|
|1141|[[キティモリアワりん>モンスター図鑑/1141]]	|なし||
|1142|[[キティヒカりん>モンスター図鑑/1142]]	|&mons164; &mons157; &mons158;|[[キティヒカモリりん>モンスター図鑑/1143]]|
|1143|[[キティヒカモリりん>モンスター図鑑/1143]]	|なし||
|1144|[[キティワルりん>モンスター図鑑/1144]]	|&mons165; &mons158; &mons159;|[[キティワルヒカりん>モンスター図鑑/1145]]|
|1145|[[キティワルヒカりん>モンスター図鑑/1145]]	|なし||
|1146|[[キティン＆ミミーナ>モンスター図鑑/1146]]	|&mons321; &mons172; &mons234; &mons247; &mons251;|[[リンゴの泉のキティン＆ミミーナ>モンスター図鑑/1147]]|
|1147|[[リンゴの泉のキティン＆ミミーナ>モンスター図鑑/1147]]	|なし||
|1148|[[アップルドラウン>モンスター図鑑/1148]]	|&mons151; &mons227; &mons160; &mons250; &mons250;|[[ハローキティワールド★ジョーカー>モンスター図鑑/1149]]|
|1149|[[ハローキティワールド★ジョーカー>モンスター図鑑/1149]]	|[[究極進化]]||
|1150|[[ハローキティ>モンスター図鑑/1150]]	|&mons147; &mons171; &mons227; &mons246; &mons246;|[[キティ＆ティラ>モンスター図鑑/1151]]|
|1151|[[キティ＆ティラ>モンスター図鑑/1151]]	|[[究極進化]]||
|1152|[[けろけろけろっぴ>モンスター図鑑/1152]]	|&mons148; &mons172; &mons227; &mons247; &mons247;|[[けろっぴ＆プレシィ>モンスター図鑑/1153]]|
|1153|[[けろっぴ＆プレシィ>モンスター図鑑/1153]]	|[[究極進化]]||
|1154|[[マイメロディ>モンスター図鑑/1154]]	|&mons149; &mons173; &mons227; &mons248; &mons248;|[[メロディ＆ブラッキィ>モンスター図鑑/1155]]|
|1155|[[メロディ＆ブラッキィ>モンスター図鑑/1155]]	|[[究極進化]]||
|1156|[[バッドばつ丸>モンスター図鑑/1156]]	|&mons151; &mons175; &mons175; &mons250; &mons250;|[[ピエドラばつ丸>モンスター図鑑/1157]]|
|1157|[[ピエドラばつ丸>モンスター図鑑/1157]]	|なし||
|1158|[[クロミ>モンスター図鑑/1158]]	|&mons151; &mons175; &mons160; &mons250; &mons250;|[[リリスクロミ>モンスター図鑑/1159]]|
|1159|[[リリスクロミ>モンスター図鑑/1159]]	|なし||
|1160|[[シナモロール>モンスター図鑑/1160]]	|&mons150; &mons174; &mons160; &mons249; &mons249;|[[エンジェルシナモン>モンスター図鑑/1161]]|
|1161|[[エンジェルシナモン>モンスター図鑑/1161]]	|なし||
|1162|[[ポムポムプリン>モンスター図鑑/1162]]	|&mons321; &mons174; &mons174; &mons249; &mons251;|[[たまドラプリン>モンスター図鑑/1163]]|
|1163|[[たまドラプリン>モンスター図鑑/1163]]	|[[究極進化]]||
|1164|[[女神ハローキティ>モンスター図鑑/1164]]	|&mons321; &mons234; &mons227; &mons249; &mons251;|[[プリンセス・ヴァルキティ>モンスター図鑑/1165]]|
|1165|[[プリンセス・ヴァルキティ>モンスター図鑑/1165]]	|[[究極進化]]||
|1166|[[紅の華龍・バルバドス>モンスター図鑑/1166]]	|なし||
|1167|[[蒼の華龍・スターリング>モンスター図鑑/1167]]	|[[究極進化]]||
|1168|[[翠の華龍・カサブランカ>モンスター図鑑/1168]]	|なし||
|1169|[[橙の華龍・ヘリアンタス>モンスター図鑑/1169]]	|なし||
|1170|[[紫の華龍・オーキッド>モンスター図鑑/1170]]	|なし||
|1171|[[プチリップ>モンスター図鑑/1171]]	|なし||
|1172|[[プチローズ>モンスター図鑑/1172]]	|なし||
|1173|[[プチリウム>モンスター図鑑/1173]]	|なし||
|1174|[[プチアンサス>モンスター図鑑/1174]]	|なし||
|1175|[[プチラン>モンスター図鑑/1175]]	|なし||
|1176|[[黄金の番人>モンスター図鑑/1176]]	|なし||
|1177|[[ドラゴンネッキー>モンスター図鑑/1177]]	|なし||
|1178|[[レッドフェアリー>モンスター図鑑/1178]]	|&mons154; &mons155; &mons155;|[[火の精・パロット>モンスター図鑑/1179]]|
|1179|[[火の精・パロット>モンスター図鑑/1179]]	|なし||
|1180|[[ブルーフェアリー>モンスター図鑑/1180]]	|&mons154; &mons156; &mons156;|[[水の精・シャルル>モンスター図鑑/1181]]|
|1181|[[水の精・シャルル>モンスター図鑑/1181]]	|なし||
|1182|[[グリーンフェアリー>モンスター図鑑/1182]]	|&mons154; &mons157; &mons157;|[[木の精・リリー>モンスター図鑑/1183]]|
|1183|[[木の精・リリー>モンスター図鑑/1183]]	|なし||
|1184|[[イエローフェアリー>モンスター図鑑/1184]]	|&mons154; &mons158; &mons158;|[[光の精・サンリッチ>モンスター図鑑/1185]]|
|1185|[[光の精・サンリッチ>モンスター図鑑/1185]]	|なし||
|1186|[[ブラックフェアリー>モンスター図鑑/1186]]	|&mons154; &mons159; &mons159;|[[闇の精・カトレヤ>モンスター図鑑/1187]]|
|1187|[[闇の精・カトレヤ>モンスター図鑑/1187]]	|なし||
|1188|[[ヘラ・ベオーク>モンスター図鑑/1188]]	|&mons251; &mons173; &mons234; &mons149; &mons321;|[[覚醒ヘラ・ベオーク>モンスター図鑑/1189]]|
|1189|[[覚醒ヘラ・ベオーク>モンスター図鑑/1189]]	|なし||
|1190|[[エンシェントドラりんナイト・せろ>モンスター図鑑/1190]]	|なし||
|1191|[[紅焔の舞巫女・望月千代女>モンスター図鑑/1191]]	|なし||
|1192|[[蒼扇の夜叉姫・初芽局>モンスター図鑑/1192]]	|なし||
|1193|[[時津風の神童・猿飛佐助>モンスター図鑑/1193]]	|なし||
|1194|[[轟雷角の頭領・風魔小太郎>モンスター図鑑/1194]]	|なし||
|1195|[[朧月夜の幻影・服部半蔵>モンスター図鑑/1195]]	|なし||
|1196|[[空の王・リオレウス＆レウスネコ>モンスター図鑑/1196]]	|なし||
|1197|[[陸の女王・リオレイア＆レイアネコ>モンスター図鑑/1197]]	|なし||
|1198|[[覚醒秘神オーディンネコ>モンスター図鑑/1198]]	|&mons321; &mons251; &mons247; &mons234; &mons172;|[[覚醒秘神オーディン＆オーディンネコ>モンスター図鑑/1199]]|
|1199|[[覚醒秘神オーディン＆オーディンネコ>モンスター図鑑/1199]]	|なし||
|1200|[[アスカ＆エヴァ改2号機・コード777>モンスター図鑑/1200]]	|なし||
|1201&aname(no1201);|[[シンジ＆カヲル＆第13号機・FI>モンスター図鑑/1201]]	|なし||
|1202|[[ミサト＆AAAヴンダー>モンスター図鑑/1202]]	|&mons150; &mons174; &mons160; &mons249; &mons249;|[[ミサト＆AAAヴンダー・主機点火>モンスター図鑑/1203]]|
|1203|[[ミサト＆AAAヴンダー・主機点火>モンスター図鑑/1203]]	|[[究極進化]]||
|1204|[[第9の使徒>モンスター図鑑/1204]]	|&mons151; &mons151; &mons250; &mons250; &mons251;|[[第9の使徒・戦闘形態>モンスター図鑑/1205]]|
|1205|[[第9の使徒・戦闘形態>モンスター図鑑/1205]]	|なし||
|1206|[[五機龍合体・ゴッドカノープス>モンスター図鑑/1206]]	|なし||
|1207|[[五機龍融合・デモンハダル>モンスター図鑑/1207]]	|なし||
|1208|[[輝龍皇帝・バスタージークフリート>モンスター図鑑/1208]]	|なし||
|1209|[[皇狼英雄・イグニスクーフーリン>モンスター図鑑/1209]]	|なし||
|1210|[[久遠の不死鳥・フェニックス>モンスター図鑑/1210]]	|なし||
|1211|[[溟海の大悪魔・クラーケン>モンスター図鑑/1211]]	|なし||
|1212|[[王家の狩猟獣・グリフォン>モンスター図鑑/1212]]	|なし||
|1213|[[聖女の衛騎士・ユニコーン>モンスター図鑑/1213]]	|なし||
|1214|[[冥界の闇番犬・ケルベロス>モンスター図鑑/1214]]	|なし||
|1215|[[黒天の真龍王・ゼローグ>モンスター図鑑/1215]]	|なし||
|1216|[[反逆の熾天使・ルシファー>モンスター図鑑/1216]]	|なし||
|1217|[[神書の管理者・メタトロン>モンスター図鑑/1217]]	|なし||
|1218|[[聖煌天の麒麟・サクヤ>モンスター図鑑/1218]]	|[[究極進化]]||
|1219|[[氷見うどん>モンスター図鑑/1219]]	|&mons150; &mons171; &mons246; &mons249; &mons251;|[[富山湾の伝統・氷見うどん>モンスター図鑑/1220]]|
|1220|[[富山湾の伝統・氷見うどん>モンスター図鑑/1220]]	|[[究極進化]]||
|1221|[[バットマン＋SGAct・FB>モンスター図鑑/1221]]	|なし||
|1222|[[ガイア>モンスター図鑑/1222]]	|&mons149; &mons149; &mons173; &mons248; &mons251;|[[覚醒ガイア>モンスター図鑑/1223]]|
|1223|[[覚醒ガイア>モンスター図鑑/1223]]	|なし||
|1224|[[双子龍・ワングレン>モンスター図鑑/1224]]	|&mons617; &mons154; &mons227; &mons246; &mons251;|[[灼翼の双龍帝・ワングレン>モンスター図鑑/1225]]|
|1225|[[灼翼の双龍帝・ワングレン>モンスター図鑑/1225]]	|なし||
|1226|[[双子龍・ベイツール>モンスター図鑑/1226]]	|&mons618; &mons154; &mons227; &mons247; &mons251;|[[凍翼の双龍帝・ベイツール>モンスター図鑑/1227]]|
|1227|[[凍翼の双龍帝・ベイツール>モンスター図鑑/1227]]	|なし||
|1228|[[覚醒オーディンたまドラ>モンスター図鑑/1228]]	|なし||
|1229|[[覚醒秘神・オーディンたまドラ>モンスター図鑑/1229]]	|なし||
|1230|[[覚醒幻神・オーディンたまドラ>モンスター図鑑/1230]]	|なし||
|1231|[[曹操>モンスター図鑑/1231]]	|&mons147; &mons227; &mons246; &mons246; &mons251;|[[求覇の武王神・曹操>モンスター図鑑/1232]]|
|1232|[[求覇の武王神・曹操>モンスター図鑑/1232]]	|[[究極進化]]||
|1233|[[孫権>モンスター図鑑/1233]]	|&mons148; &mons227; &mons247; &mons247; &mons251;|[[秘勇の将軍神・孫権>モンスター図鑑/1234]]|
|1234|[[秘勇の将軍神・孫権>モンスター図鑑/1234]]	|[[究極進化]]||
|1235|[[劉備>モンスター図鑑/1235]]	|&mons149; &mons227; &mons248; &mons248; &mons251;|[[明徳の英傑神・劉備>モンスター図鑑/1236]]|
|1236|[[明徳の英傑神・劉備>モンスター図鑑/1236]]	|[[究極進化]]||
|1237|[[大喬＆小喬>モンスター図鑑/1237]]	|&mons150; &mons227; &mons247; &mons249; &mons251;|[[凛聖の双華神・大喬＆小喬>モンスター図鑑/1238]]|
|1238|[[凛聖の双華神・大喬＆小喬>モンスター図鑑/1238]]	|[[究極進化]]||
|1239|[[呂布>モンスター図鑑/1239]]	|&mons151; &mons227; &mons250; &mons250; &mons251;|[[羅刹の飛将神・呂布>モンスター図鑑/1240]]|
|1240|[[羅刹の飛将神・呂布>モンスター図鑑/1240]]	|[[究極進化]]||
|1241|[[美髯神・関羽>モンスター図鑑/1241]]	|&mons149; &mons321; &mons227; &mons249; &mons251;|[[義篤の美髯神・関羽>モンスター図鑑/1242]]|
|1242|[[義篤の美髯神・関羽>モンスター図鑑/1242]]	|なし||
|1243|[[忠義神・関羽>モンスター図鑑/1243]]	|&mons147; &mons321; &mons227; &mons250; &mons251;|[[奮起の忠義神・関羽>モンスター図鑑/1244]]|
|1244|[[奮起の忠義神・関羽>モンスター図鑑/1244]]	|なし||
|1245|[[光僧・三蔵法師>モンスター図鑑/1245]]	|&mons150; &mons174; &mons249; &mons249; &mons251;|[[輝眼の龍僧・三蔵法師>モンスター図鑑/1246]]|
|1246|[[輝眼の龍僧・三蔵法師>モンスター図鑑/1246]]	|なし||
|1247|[[影僧・三蔵法師>モンスター図鑑/1247]]	|&mons151; &mons175; &mons250; &mons250; &mons251;|[[冥眼の龍僧・三蔵法師>モンスター図鑑/1248]]|
|1248|[[冥眼の龍僧・三蔵法師>モンスター図鑑/1248]]	|なし||
|1249|[[ヘラ・ソエル>モンスター図鑑/1249]]	|&mons251; &mons174; &mons234; &mons150; &mons321;|[[覚醒ヘラ・ソエル>モンスター図鑑/1250]]|
|1250|[[覚醒ヘラ・ソエル>モンスター図鑑/1250]]	|なし||
|1251|[[ゼウス・ヴァルカン>モンスター図鑑/1251]]	|&mons147; &mons321; &mons234; &mons246; &mons251;|[[覚醒ゼウス・ヴァルカン>モンスター図鑑/1252]]|
|1252|[[覚醒ゼウス・ヴァルカン>モンスター図鑑/1252]]	|なし||
|1253|[[龍焔の熾天使・ウリエル>モンスター図鑑/1253]]	|なし||
|1254|[[神導の大天使・ガブリエル>モンスター図鑑/1254]]	|なし||
|1255|[[退滅の大天使・ミカエル>モンスター図鑑/1255]]	|なし||
|1256|[[救聖の大天使・ラファエル>モンスター図鑑/1256]]	|なし||
|1257|[[爆進の魔神卿・ベリアル>モンスター図鑑/1257]]	|なし||
|1258|[[漢気の魔神卿・アモン>モンスター図鑑/1258]]	|なし||
|1259|[[夢見の魔神将・アスタロト>モンスター図鑑/1259]]	|なし||
|1260|[[天真の魔神卿・アスタロト>モンスター図鑑/1260]]	|なし||
|1261|[[傲慢の魔神卿・バアル>モンスター図鑑/1261]]	|なし||
|1262|[[天樹華の朱雀・レイラン>モンスター図鑑/1262]]	|なし||
|1263|[[天聖導の朱雀・レイラン>モンスター図鑑/1263]]	|なし||
|1264|[[守護命の青龍・カリン>モンスター図鑑/1264]]	|なし||
|1265|[[妙霊護の青龍・カリン>モンスター図鑑/1265]]	|なし||
|1266|[[冥地鎮の玄武・メイメイ>モンスター図鑑/1266]]	|なし||
|1267|[[道明守の玄武・メイメイ>モンスター図鑑/1267]]	|なし||
|1268|[[焔月輪の白虎・ハク>モンスター図鑑/1268]]	|なし||
|1269|[[退魔爪の白虎・ハク>モンスター図鑑/1269]]	|なし||
|1270|[[烈乙女・プリンセスヴァルキリー>モンスター図鑑/1270]]	|[[究極進化]]||
|1271|[[凰華烈姫・グレイスヴァルキリー>モンスター図鑑/1271]]	|[[究極進化]]||
|1272|[[紅の機神将・エルダーヨトゥン>モンスター図鑑/1272]]	|なし||
|1273|[[蒼の機神将・マールミズガルズ>モンスター図鑑/1273]]	|なし||
|1274|[[碧の機神将・ヴィズアースガル>モンスター図鑑/1274]]	|なし||
|1275|[[ジャッジゴーレム>モンスター図鑑/1275]]	|なし||
|1276|[[マドロミドラゴン>モンスター図鑑/1276]]	|&mons151; &mons227; &mons227; &mons249; &mons251;|[[カクセイドラゴン>モンスター図鑑/1277]]|
|1277|[[カクセイドラゴン>モンスター図鑑/1277]]	|なし||
|1278|[[水無月ヨウ>モンスター図鑑/1278]]	|&mons148; &mons148; &mons172; &mons247; &mons251;|[[ヨウ＆カイゼルジークフリート>モンスター図鑑/1279]]|
|1279|[[ヨウ＆カイゼルジークフリート>モンスター図鑑/1279]]	|なし||
|1280|[[牧村チカ>モンスター図鑑/1280]]	|&mons147; &mons171; &mons171; &mons160; &mons246;|[[チカ＆戦女神・ミネルヴァ>モンスター図鑑/1281]]|
|1281|[[チカ＆戦女神・ミネルヴァ>モンスター図鑑/1281]]	|なし||
|1282|[[武田ムラクモ>モンスター図鑑/1282]]	|&mons147; &mons147; &mons171; &mons160; &mons246;|[[ムラクモ＆剛腕の巨人・ギガンテス>モンスター図鑑/1283]]|
|1283|[[ムラクモ＆剛腕の巨人・ギガンテス>モンスター図鑑/1283]]	|なし||
|1284|[[沖田リオナ>モンスター図鑑/1284]]	|&mons148; &mons172; &mons172; &mons160; &mons247;|[[リオナ＆大海の歌姫・セイレーン>モンスター図鑑/1285]]|
|1285|[[リオナ＆大海の歌姫・セイレーン>モンスター図鑑/1285]]	|なし||
|1286|[[フォーレン・ラズール>モンスター図鑑/1286]]	|&mons149; &mons173; &mons173; &mons160; &mons248;|[[フォーレン＆狩猟神・アルテミス>モンスター図鑑/1287]]|
|1287|[[フォーレン＆狩猟神・アルテミス>モンスター図鑑/1287]]	|なし||
|1288|[[パトリシア・エゼル>モンスター図鑑/1288]]	|&mons150; &mons174; &mons174; &mons160; &mons249;|[[パトリシア＆ヴァルキリー>モンスター図鑑/1289]]|
|1289|[[パトリシア＆ヴァルキリー>モンスター図鑑/1289]]	|なし||
|1290|[[アンリ・ボーラム>モンスター図鑑/1290]]	|&mons151; &mons175; &mons227; &mons160; &mons250;|[[アンリ＆カオスデビルドラゴン>モンスター図鑑/1291]]|
|1291|[[アンリ＆カオスデビルドラゴン>モンスター図鑑/1291]]	|なし||
|1292|[[ティンニン>モンスター図鑑/1292]]	|&mons150; &mons174; &mons227; &mons249; &mons251;|[[ティンニン＆エンジェル>モンスター図鑑/1293]]|
|1293|[[ティンニン＆エンジェル>モンスター図鑑/1293]]	|[[究極進化]]||
|1294|[[古代の蒼神面>モンスター図鑑/1294]]	|なし||
|1295|[[古代の碧神面>モンスター図鑑/1295]]	|なし||
|1296|[[岩戸の芸女神・アメノウズメ>モンスター図鑑/1296]]	|なし||
|1297|[[護恵の漁猟神・ウミサチヤマサチ>モンスター図鑑/1297]]	|なし||
|1298|[[献身の巫女神・クシナダヒメ>モンスター図鑑/1298]]	|なし||
|1299|[[天道の皇祖神・イザナギ>モンスター図鑑/1299]]	|なし||
|1300|[[漫遊の国造神・オオクニヌシ>モンスター図鑑/1300]]	|なし||
|1301&aname(no1301);|[[ディノライダー・ワイルドドレーク>モンスター図鑑/1301]]	|なし||
|1302|[[ビーストライダー・ウィズマーリン>モンスター図鑑/1302]]	|なし||
|1303|[[マリンライダー・バードロビン>モンスター図鑑/1303]]	|なし||
|1304|[[ドラゴンライダー・キングアーサー>モンスター図鑑/1304]]	|なし||
|1305|[[グリプスライダー・ベクターフィン>モンスター図鑑/1305]]	|なし||
|1306|[[ワダツミ>モンスター図鑑/1306]]	| &mons148; &mons172; &mons175; &mons247; &mons251;|[[覚醒ワダツミ>モンスター図鑑/1307]]|
|1307|[[覚醒ワダツミ>モンスター図鑑/1307]]	|なし||
|1308|[[月夜花>モンスター図鑑/1308]]	|&mons166; &mons155; &mons155;|[[金色の妖狐・月夜花>モンスター図鑑/1309]]|
|1309|[[金色の妖狐・月夜花>モンスター図鑑/1309]]	|なし||
|1310|[[ハティーベベ>モンスター図鑑/1310]]	|&mons162; &mons167; &mons156;|[[暴風の牙狼・ハティー>モンスター図鑑/1311]]|
|1311|[[暴風の牙狼・ハティー>モンスター図鑑/1311]]	|なし||
|1312|[[ミストレス>モンスター図鑑/1312]]	|&mons163; &mons152; &mons157;|[[紫電の女王蜂・ミストレス>モンスター図鑑/1313]]|
|1313|[[紫電の女王蜂・ミストレス>モンスター図鑑/1313]]	|なし||
|1314|[[スケゴルト>モンスター図鑑/1314]]	|なし||
|1315|[[バフォメット>モンスター図鑑/1315]]	|&mons151; &mons175; &mons160;|[[冥界の邪神・バフォメット>モンスター図鑑/1316]]|
|1316|[[冥界の邪神・バフォメット>モンスター図鑑/1316]]	|なし||
|1317|[[キングマスターリング>モンスター図鑑/1317]]	|なし||
|1318|[[ECO・スーパータイニー・アルマ>モンスター図鑑/1318]]	|なし||
|1319|[[I LOVE パズドラベア>モンスター図鑑/1319]]	|なし||
|1320|[[樹龍戦姫・セイントプラン>モンスター図鑑/1320]]	|なし||
|1321|[[ブルード>モンスター図鑑/1321]]	|なし||
|1322|[[GC CRAB Ver.3>モンスター図鑑/1322]]	|なし||
|1323|[[キングデビたま>モンスター図鑑/1323]]	|なし||
|1324|[[超絶キングメタルドラゴン>モンスター図鑑/1324]]	|なし||
|1325|[[火の宝玉>モンスター図鑑/1325]]	|なし||
|1326|[[水の宝玉>モンスター図鑑/1326]]	|なし||
|1327|[[木の宝玉>モンスター図鑑/1327]]	|なし||
|1328|[[光の宝玉>モンスター図鑑/1328]]	|なし||
|1329|[[闇の宝玉>モンスター図鑑/1329]]	|なし||
|1330|[[クリシュナ>モンスター図鑑/1330]]	|&mons147; &mons147; &mons171; &mons160; &mons246;|[[勇将神・クリシュナ>モンスター図鑑/1331]]|
|1331|[[勇将神・クリシュナ>モンスター図鑑/1331]]	|[[究極進化]]||
|1332|[[サラスヴァティ>モンスター図鑑/1332]]	|&mons148; &mons148; &mons172; &mons160; &mons247;|[[聖流の女神・サラスヴァティ>モンスター図鑑/1333]]|
|1333|[[聖流の女神・サラスヴァティ>モンスター図鑑/1333]]	|[[究極進化]]||
|1334|[[ヴィシュヌ>モンスター図鑑/1334]]	|&mons149; &mons149; &mons173; &mons160; &mons248;|[[創界神・ヴィシュヌ>モンスター図鑑/1335]]|
|1335|[[創界神・ヴィシュヌ>モンスター図鑑/1335]]	|[[究極進化]]||
|1336|[[ガネーシャ>モンスター図鑑/1336]]	|&mons150; &mons150; &mons174; &mons160; &mons249;|[[学問神・ガネーシャ>モンスター図鑑/1337]]|
|1337|[[学問神・ガネーシャ>モンスター図鑑/1337]]	|[[究極進化]]||
