* リーダースキル [#e57a0767]

- リーダーと助っ人のモンスターのみ効果を発動する。
|&font2(80%){せいやのいざない};聖夜の誘い		|>|[神]|神タイプの攻撃力が3倍。|聖夜のサンタクロース・ヘラ|&aname(ls1781,full,super){ls1781};|
|&font2(80%){いざ&#12436;ぇるのしんいき};イザヴェルの神域		|>|[神]|神タイプの攻撃力が3倍。&br;[[光槍の魔術神・オーディン>モンスター図鑑/1423]]がチームにいると攻撃力と回復力が1.2倍。|ヨルズ&br;覚醒ヨルズ|&aname(ls2139,full,super){ls2319};|
|&font2(80%){せいいきへのせんどう};聖域への先導		|>|[神]|神タイプの攻撃力が3倍、回復力は1.5倍。|密命の天使・イーリア|&aname(ls1848,full,super){ls1848};|
|&font2(80%){にけのしゅくふく};ニケの祝福		|>|[神]|神タイプの攻撃力が3倍。|アテナ&br;覚醒アテナ|&aname(ls0648,full,super){ls0648};|
|&font2(80%){にけのせいか};ニケの聖歌		|>|[神]|神タイプのHPが1.25倍、攻撃力は3倍。|聖都の守護神・アテナ|&aname(ls1422,full,super){ls1422};|
|&font2(80%){こうてんのせいごふ};光天の聖護符		|>|[神]|ドラゴンタイプのHPが1.5倍。&br;神タイプの攻撃力が3.5倍。|日龍喚士・カンナ&br;早天の日龍喚士・カンナ|&aname(ls2147,full,super){ls2147};|
|&font2(80%){めっせいのじょうか};滅世の浄火		|>|[神]|火属性の攻撃力が2倍。&br;神タイプの攻撃力が2.5倍、回復力は1.5倍。|シヴァ＝ドラゴン&br;破壊神・シヴァ＝ドラゴン|&aname(ls2252,full,super){ls2252};|
|&font2(80%){しんぼくのせいご};神木の聖護		|>|[神]|神タイプのHPが2.5倍、攻撃力が1.5倍、回復力は1.35倍。|ノア&br;覚醒ノア|&aname(ls1460,full,super){ls1460};|
|&font2(80%){ぎょうてんしょくのしんう};暁天色の神羽		|>|[神]|神タイプの全パラメータが1.5倍。|ヘラ・ソエル&br;覚醒ヘラ・ソエル|&aname(ls1249,full,super){ls1249};|
|&font2(80%){げんせのしんこう};現世の神効		|>|[神]|HP80％以上((ver6.1でHP満タン→HP80%以上に修正))で、神タイプの攻撃力が3.5倍。|イザナギ&br;皇祖の神・イザナギ|&aname(ls0805,full,super){ls0805};|
|&font2(80%){げんせのちょうしんこう};現世の超神効		|>|[神]|神タイプの回復力が1.5倍((ver7.5でHP80％以上3.5倍→無条件1.5倍に修正))。&br;HP80％以上で、神タイプの攻撃力が3.5倍。|天道の皇祖神・イザナギ|&aname(ls1299,full,super){ls1299};|
|&font2(80%){りゅうじんのちかい};龍神の誓い		|>|[ドラゴン]&br;[神]|ドラゴンと神タイプのHPが1.5倍。|インドラ|&aname(ls0242,full,super){ls0242};|
|&font2(80%){りゅうじんのいのり};龍神の祈り		|>|[ドラゴン]&br;[神]|ドラゴンと神タイプのHPが2倍。|雷霆龍・インドラ|&aname(ls0243,full,super){ls0243};|
|&font2(80%){らいりゅうじんのしゅくふく};雷龍神の祝福		|>|[ドラゴン]&br;[神]|ドラゴンと神タイプのHPと攻撃力が2倍。|天頂の雷霆龍・インドラ|&aname(ls0657,full,super){ls0657};|
|&font2(80%){りゅうじんのいかり};龍神の怒り		|>|[ドラゴン]&br;[神]|ドラゴンと神タイプの攻撃力が1.5倍。|ヴリトラ|&aname(ls0244,full,super){ls0244};|
|&font2(80%){りゅうじんのほうこう};龍神の咆哮		|>|[ドラゴン]&br;[神]|ドラゴンと神タイプの攻撃力が2倍。|暗黒龍・ヴリトラ|&aname(ls0245,full,super){ls0245};|
|&font2(80%){こくりゅうじんのげきこう};黒龍神の激昂		|>|ドラゴン&br;[神]|ドラゴンと神タイプの攻撃力と回復力が2倍。|深潭の暗黒龍・ヴリトラ|&aname(ls0658,full,super){ls0658};|
|&font2(80%){えんどりゅうのきずな};焔土龍の絆		|>|[ドラゴン]&br;[回復]|ドラゴンと回復タイプの攻撃力が2倍。|焔土の龍騎姫・卑弥呼|&aname(ls1361,full,super){ls1361};|
|&font2(80%){ひかいりゅうのきずな};秘海龍の絆		|>|[ドラゴン]&br;[バランス]|ドラゴンとバランスタイプの攻撃力が2倍。|秘海の龍騎姫・クレオパトラ|&aname(ls1362,full,super){ls1362};|
|&font2(80%){てんぷうりゅうのきずな};天風龍の絆		|>|[ドラゴン]&br;[体力]|ドラゴンと体力タイプの攻撃力が2倍。|天風の龍騎姫・イシュタル|&aname(ls1363,full,super){ls1363};|
|&font2(80%){せいこくりゅうのきずな};聖刻龍の絆		|>|[ドラゴン]&br;[攻撃]|ドラゴンと攻撃タイプの攻撃力が2倍。|聖刻の龍騎姫・ジャンヌダルク|&aname(ls1364,full,super){ls1364};|
|&font2(80%){げつえいりゅうのきずな};月影龍の絆		|>|[ドラゴン]&br;[バランス]|ドラゴンとバランスタイプの攻撃力が2倍。|月影の龍騎姫・ムーラン|&aname(ls1365,full,super){ls1365};|
|&font2(80%){わたしをたおすことはできん！};私をたおすことはできん！	|>|[バランス]&br;[悪魔]|バランスと悪魔タイプの攻撃力が2倍。|パラメキア皇帝|&aname(ls2053,full,super){ls2053};|
|&font2(80%){たのしいこと、しようよっ♪};楽しいコト、しようよっ♪	|>|[神]&br;[悪魔]|神と悪魔タイプの攻撃力が2.5倍。|↑↑先輩・ヘラ・ウルズ|&aname(ls2018,full,super){ls2018};|
|&font2(80%){まじんのちょうしんせい};魔神の超新星		|>|[ドラゴン]&br;[悪魔]|ドラゴンと悪魔タイプの攻撃力が2.5倍。|超神星ネプチューン・シュトローム|&aname(ls2170,full,super){ls2170};|
|&font2(80%){りゅうおうのふんぬ};竜王の憤怒		|>|[ドラゴン]&br;[悪魔]|ドラゴンタイプと悪魔の攻撃力が3倍。|天獄召喚・バハムートヘルヘブン|&aname(ls1907,full,super){ls1907};|
|イノセントブレイブ		|>|[回復]&br;[神]|回復と神タイプの攻撃力が3倍。|神命姫神・ヴァルキリーローズ|&aname(ls1727,full,super){ls1727};|
|いのせんとぶれいぶ		|>|[回復]&br;[神]|回復と神タイプの攻撃力が3倍。|神命姫神・ミニばるきりーろーず|&aname(ls2321,full,super){ls2321};|
|バーニングブレイブ		|>|[回復]&br;[神]|回復と神タイプの攻撃力が3倍。火を6個以上つなげると攻撃力が1.5倍。((ver8.5で追加))|凰華姫神・ヴァルキリーファム|&aname(ls1728,full,super){ls1728};|
|サイレントブレイブ		|>|[回復]&br;[神]|回復と神タイプの攻撃力が3倍。水を6個以上つなげると攻撃力が1.5倍。((ver8.5で追加))|蒼翔姫神・ヴァルキリーレイン|&aname(ls1729,full,super){ls1729};|
|フリーダムブレイブ		|>|[回復]&br;[神]|回復と神タイプの攻撃力が3倍。木を6個以上つなげると攻撃力が1.5倍。((ver8.5で追加))|茨戒姫神・ヴァルキリーエリーゼ|&aname(ls1730,full,super){ls1730};|
|ダークライトブレイブ	|>|[回復]&br;[神]|回復と神タイプの攻撃力が3倍。闇を6個以上つなげると攻撃力が1.5倍。((ver8.5で追加))|黒翼姫神・ヴァルキリークレール|&aname(ls1731,full,super){ls1731};|
|フォース・インパクト	|>|[攻撃]&br;[マシン]|攻撃とマシン((ver8.2で追加))タイプの攻撃力が3.5倍。((ver7.0でHP80%以上→HP99%以下に修正、ver8.2で制限撤廃))|シンジ＆カヲル＆第13号機・FI|&aname(ls1201,full,super){ls1201};|
|&font2(80%){わたしがきゅうしゅうしてやるぞ!!!};わたしが吸収してやるぞ!!!	|>|[悪魔]&br;[ドラゴン]|悪魔とドラゴンタイプの攻撃力が2倍。|セル・第1形態|&aname(ls1569,full,super){ls1569};|
|&font2(80%){かんぜんたいになれさえすれば…};完全体になれさえすれば…	|>|[悪魔]&br;[ドラゴン]|悪魔とドラゴンタイプの攻撃力が2.5倍。|セル・第2形態|&aname(ls1570,full,super){ls1570};|
|&font2(80%){ちきゅうごときえてなくなれ!!};地球ごと消えてなくなれ!!	|>|[悪魔]&br;[ドラゴン]|悪魔とドラゴンタイプの攻撃力が3.5倍。|セル・完全体&br;パーフェクトセル|&aname(ls1571,full,super){ls1571};|
|&font2(80%){しん・てんきょくせいりゅうしょう};真・天極星龍掌		|>|[ドラゴン]&br;[体力]|HP満タン時、ドラゴンと体力タイプの攻撃力が4倍。|星輝の黄龍帝・ファガン|&aname(ls1342,full,super){ls1342};|
|&font2(80%){これがさいごのいっしだあーっ};これが最後の一矢だあーッ	|>|[神]&br;[バランス]|HP満タン時、神とバランス((ver7.9で追加))タイプの攻撃力が4倍。|黄金の一矢・射手座の星矢|&aname(ls1725,full,super){ls1725};|
|&font2(80%){こくしょくりゅうのおーら};黒蝕竜のオーラ		|>|[悪魔]&br;[ドラゴン]|HP80％以上((ver8.2でHP満タン→HP80％以上に修正))で、悪魔とドラゴンタイプの攻撃力が4倍。|ゴアネコ&br;ゴア・マガラ＆ゴアネコ&br;狂竜化ゴア・マガラ＆ゴアネコ|&aname(ls1607,full,super){ls1607};|
|&font2(80%){ごうけんのたんりょく};剛健の胆力		|>|[体力]&br;[ドラゴン]|HP50％以上で、体力とドラゴン((ver7.2で追加))タイプの&br;攻撃力が3.5倍、回復力は1.5倍。|美髯神・関羽&br;義篤の美髯神・関羽|&aname(ls1241,full,super){ls1241};|
|&font2(80%){りゅうひのれいせつ};龍飛の礼節		|>|[ドラゴン]&br;[バランス]|HP50％以上で、ドラゴンとバランス((ver7.2で追加))タイプの&br;攻撃力が3.5倍、回復力は1.5倍。|忠義神・関羽&br;奮起の忠義神・関羽|&aname(ls1243,full,super){ls1243};|
|&font2(80%){れいおうひのそうぼう};澪王妃の双眸		|>|[神]&br;[悪魔]|悪魔タイプのHPと回復力が1.5倍。((ver7.3でHP50％以下の制限撤廃、効果対象にHP追加))&br;HP50％以上で、神と悪魔タイプの攻撃力が3倍。|澪王妃・ヘラ・イース|&aname(ls1737,full,super){ls1737};|
|&font2(80%){しんかいのりょうふう};神界の涼風		|>|[神]&br;[回復]|神((ver8.1で追加))と回復タイプのHPが1.25倍。((ver7.2で追加))&br;HP50％以上で、神((ver8.1で追加))と回復タイプの攻撃力が3.5倍。|楽園の管理者・メタトロン|&aname(ls1518,full,super){ls1518};|
|&font2(80%){かりゅうのどごう};火竜の怒号		|>|[バランス]&br;[ドラゴン]|HP80％以下で、バランスとドラゴンタイプの攻撃力が4倍。|空の王・リオレウス＆レウスネコ|&aname(ls1196,full,super){ls1196};|
|&font2(80%){しんりしゃのしげん};審理者の至言		|>|[神]&br;[攻撃]|闇属性のHPが1.35倍。((ver8.1で追加))&br;HP80％以下で、神と攻撃タイプの攻撃力が4倍。|神罰の審理者・メタトロン|&aname(ls1644,full,super){ls1644};|
|しんりしゃのしげん		|>|[神]&br;[攻撃]|闇属性のHPが1.35倍。&br;HP80％以下で、神と攻撃タイプの攻撃力が4倍。|神罰の審理者・ミニめたとろん|&aname(ls2316,full,super){ls2316};|
|&font2(80%){いまこそ うなれわがせいけんよ};今こそ うなれわが聖剣よ	|>|[ドラゴン]&br;[攻撃]|HP50％以下で、ドラゴンと攻撃タイプの攻撃力が3.5倍。|託されし魂・龍星座の紫龍|&aname(ls1724,full,super){ls1724};|
|&font2(80%){よみのことわり};黄泉の理			|>|[神]&br;[体力]|総HPが0.75倍になるが、神と体力タイプの攻撃力が4倍。|平定の黄泉神・イザナミ|&aname(ls2180,full,super){ls2180};|
|&font2(80%){おまちかねひゃくぱーせんと!};お待ちかね100パーセント!	|>|[ドラゴン]&br;[悪魔]|ドラゴンと悪魔タイプのHPが1.5倍、攻撃力は2.5倍。|フリーザ・最終形態|&aname(ls1379,full,super){ls1379};|
|&font2(80%){けんゆうのたんりょく};賢勇の胆力		|>|[回復]&br;[体力]|回復と体力タイプのHPと攻撃力が2倍。|関銀屏&br;桃園の義将姫・関銀屏|&aname(ls1589,full,super){ls1589};|
|&font2(80%){ぎあいのりゅうもん};義愛の龍紋		|>|[ドラゴン]&br;[攻撃]|ドラゴンと攻撃タイプのHPと攻撃力が2倍。|義愛の知将龍・カネツグ|&aname(ls1525,full,super){ls1525};|
|&font2(80%){あんこくりゅうのめっき};暗黒龍の滅気		|>|[ドラゴン]&br;[悪魔]|ドラゴンと悪魔タイプのHPが1.35倍、攻撃力は3倍。|深獄の暗黒龍・ヴリトラ|&aname(ls1927,full,super){ls1927};|
|&font2(80%){らいていりゅうのひぎ};雷霆龍の秘技		|>|[ドラゴン]&br;[バランス]|ドラゴンとバランスタイプの攻撃力が3倍、回復力は1.35倍。|破天の雷霆龍・インドラ|&aname(ls1926,full,super){ls1926};|
|&font2(80%){きぼうのふね};希望の船			|>|[攻撃]&br;[マシン]|攻撃とマシン((ver8.2で追加))タイプの攻撃力が2.5倍、回復力は2倍。|ミサト＆AAAヴンダー&br;ミサト＆AAAヴンダー・主機点火&br;ミサト＆AAAヴンダー・主砲斉射|&aname(ls1202,full,super){ls1202};|
|&font2(80%){ごうよくのまえん};轟翼の魔炎		|>|[体力]&br;[悪魔]|体力と悪魔タイプの攻撃力が2.5倍、回復力は1.5倍。|爆進の魔神卿・ベリアル|&aname(ls1257,full,super){ls1257};|
|&font2(80%){あくまのみかた};悪魔の味方		|>|[体力]&br;[悪魔]|体力と悪魔タイプのHPと回復力が1.5倍、攻撃力は2倍。|漢気の魔神卿・アモン|&aname(ls1258,full,super){ls1258};|
|&font2(80%){むくなるねむり};無垢なる眠り		|>|[体力]&br;[神]|体力と神タイプのHPと回復力が1.5倍。|小人の王女・白雪姫|&aname(ls1415,full,super){ls1415};|
|&font2(80%){がらすのまほう};ガラスの魔法		|>|[体力]&br;[神]|体力と神タイプのHPと回復力が1.5倍。|白馬車の姫君・シンデレラ|&aname(ls1419,full,super){ls1419};|
|&font2(80%){むじゃきなほほえみ};無邪気な微笑み		|>|[回復]&br;[体力]|回復と体力タイプのHPと回復力が1.5倍。|森の元気娘・赤ずきん|&aname(ls1413,full,super){ls1413};|
|&font2(80%){こころやさしきかんご};心優しき看護		|>|[攻撃]&br;[回復]|攻撃と回復タイプのHPと回復力が1.5倍。|四つ葉の王女・おやゆび姫|&aname(ls1417,full,super){ls1417};|
|&font2(80%){ひゃくねんかんのすいま};百年間の睡魔		|>|[バランス]&br;[悪魔]|バランスと悪魔タイプのHPと回復力が1.5倍。|イバラの王女・ねむり姫|&aname(ls1421,full,super){ls1421};|
|&font2(80%){ふぁみつうあっぷのげきりん};ファミ通Appの逆鱗		|>|[強化用]|強化合成用モンスターの攻撃力が3.5倍。|ドラゴンネッキー|&aname(ls1177,full,super){ls1177};|
|&font2(80%){ふぁみつうあっぷのおまもり};ファミ通Appの御守		|>|[強化用]|強化合成用モンスターのHPが1.2倍、攻撃力は3倍。|超絶キングゴールドネッキー|&aname(ls1508,full,super){ls1508};|
|けんおうのとうき		|>|[強化用]|強化合成用モンスターのHPが2倍、攻撃力は2.5倍。|ラオウデビドラ|&aname(ls1703,full,super){ls1703};|
|>|>|>|>|>|BGCOLOR(#ffffff):【能力アップ（属性＆タイプ）】&aname(ptBuff);|
||CENTER:|LEFT:||||c
|&font2(80%){こうえんのぺたる};紅炎のペタル		|>|&color(#000,#f1bba6){火};&br;[ドラゴン]|火属性とドラゴンタイプの攻撃力が2倍。|紅の華龍・バルバドス|&aname(ls1166,full,super){ls1166};|
|&font2(80%){そうはくのぺたる};蒼雹のペタル		|>|&color(#000,#a6f1f1){水};&br;[ドラゴン]|水属性とドラゴンタイプの攻撃力が2倍。|蒼の華龍・スターリング|&aname(ls1167,full,super){ls1167};|
|&font2(80%){すいふうのぺたる};翠風のペタル		|>|&color(#000,#bbf1a6){木};&br;[ドラゴン]|木属性とドラゴンタイプの攻撃力が2倍。|翠の華龍・カサブランカ|&aname(ls1168,full,super){ls1168};|
|&font2(80%){とうきのぺたる};橙輝のペタル		|>|&color(#000,#f1f1a6){光};&br;[ドラゴン]|光属性とドラゴンタイプの攻撃力が2倍。|橙の華龍・ヘリアンタス|&aname(ls1169,full,super){ls1169};|
|&font2(80%){しうんのぺたる};紫雲のペタル		|>|&color(#000,#bba6f1){闇};&br;[ドラゴン]|闇属性とドラゴンタイプの攻撃力が2倍。|紫の華龍・オーキッド|&aname(ls1170,full,super){ls1170};|
|&font2(80%){ふうりんかざんのりゅうもん};風林火山の龍紋		|>|&color(#000,#f1bba6){火};&br;[体力]|火属性と体力タイプの攻撃力が2倍。|風林火山龍・シンゲン|&aname(ls0540,full,super){ls0540};|
|&font2(80%){びしゃもんのりゅうもん};毘沙門の龍紋		|>|&color(#000,#a6f1f1){水};&br;[攻撃]|水属性と攻撃タイプの攻撃力が2倍。|毘沙門龍・ケンシン|&aname(ls0541,full,super){ls0541};|
|&font2(80%){どくがんのりゅうもん};独眼の竜紋		|>|&color(#000,#bbf1a6){木};&br;[攻撃]|木属性と攻撃タイプの攻撃力が2倍。|独眼竜・マサムネ|&aname(ls0542,full,super){ls0542};|
|&font2(80%){たいこうのりゅうもん};太閤の龍紋		|>|&color(#000,#f1f1a6){光};&br;[体力]|光属性と体力タイプの攻撃力が2倍。|太閤龍・ヒデヨシ|&aname(ls0543,full,super){ls0543};|
|&font2(80%){だいろくてんまのりゅうもん};第六天魔の龍紋		|>|&color(#000,#bba6f1){闇};&br;[攻撃]|闇属性と攻撃タイプの攻撃力が2倍。|第六天魔龍・ノブナガ|&aname(ls0544,full,super){ls0544};|
|&font2(80%){てんまのひりゅうもん};天魔の秘龍紋		|>|&color(#000,#bba6f1){闇};&br;[攻撃]|闇属性と攻撃タイプの攻撃力が2.5倍、回復力は1.5倍。|義憤の天魔龍・ノブナガ|&aname(ls2130,full,super){ls2130};|
|グレートホーン!!		|>|&color(#000,#f1bba6){火};&br;[体力]|火属性と体力タイプの攻撃力が2倍。|黄金聖闘士・牡牛座のアルデバラン|&aname(ls1441,full,super){ls1441};|
|スカーレットニードル!!	|>|&color(#000,#f1bba6){火};&br;[攻撃]|火属性と攻撃タイプの攻撃力が2倍。|黄金聖闘士・蠍座のミロ|&aname(ls1451,full,super){ls1451};|
|&font2(80%){おーろらえくすきゅーしょん!!};Aエクスキューション!!	|>|&color(#000,#a6f1f1){水};&br;[バランス]|水属性とバランスタイプの攻撃力が2倍。|黄金聖闘士・水瓶座のカミュ|&aname(ls1455,full,super){ls1455};|
|ブラッディローズ!!		|>|&color(#000,#a6f1f1){水};&br;[回復]|水属性と回復タイプの攻撃力が2倍。|黄金聖闘士・魚座のアフロディーテ|&aname(ls1457,full,super){ls1457};|
|エクスカリバー!!		|>|&color(#000,#bbf1a6){木};&br;[攻撃]|木属性と攻撃タイプの攻撃力が2倍。|黄金聖闘士・山羊座のシュラ|&aname(ls1453,full,super){ls1453};|
|ライトニングボルト!!	|>|&color(#000,#f1f1a6){光};&br;[攻撃]|光属性と攻撃タイプの攻撃力が2倍。|黄金聖闘士・獅子星のアイオリア|&aname(ls1447,full,super){ls1447};|
|&font2(80%){てんぶほうりん!!};天舞宝輪!!		|>|&color(#000,#f1f1a6){光};&br;[バランス]|光属性とバランスタイプの攻撃力が2倍。|黄金聖闘士・乙女座のシャカ|&aname(ls1449,full,super){ls1449};|
|&font2(80%){せきしきめいかいは!!};積尸気冥界波!!	|>|&color(#000,#bba6f1){闇};&br;[悪魔]|闇属性と悪魔タイプの攻撃力が2倍。|黄金聖闘士・蟹座のデスマスク|&aname(ls1445,full,super){ls1445};|
|ワイルド・カード		|>|&color(#000,#f1bba6){火};&br;[悪魔]|火属性と悪魔タイプの攻撃力が2倍。|ハーレイクイン&br;マッドラブ・ハーレイクイン|&aname(ls1451,full,super){ls1689};|
|ハーベスト		|>|&color(#000,#bbf1a6){木};&br;[悪魔]|木属性と悪魔タイプの攻撃力が2倍。|ポイズンアイビー&br;毒物学者・ポイズンアイビー|&aname(ls1453,full,super){ls1697};|
|ファイアスケイル		|>|&color(#000,#f1bba6){火};&br;[ドラゴン]|火属性とドラゴンタイプの攻撃力が2倍。|CoC・ドラゴン&br;CoC・クリムゾンドラゴン|&aname(ls0728,full,super){ls0728};|
|&font2(80%){おうはふうじん};央覇封神			|>|&color(#000,#bbf1a6){木};&br;[ドラゴン]|木属性とドラゴンタイプの攻撃力が2倍。|完全覚醒・光龍王サイガ|&aname(ls0716,full,super){ls0716};|
|&font2(80%){ふういんまは};封印魔破			|>|&color(#000,#f1f1a6){光};&br;[神]|光属性と神タイプの攻撃力が2倍。|光龍帝サイガ|&aname(ls0883,full,super){ls0883};|
|&font2(80%){ばくねつえくすぷろーじょん};爆熱エクスプロージョン	|>|&color(#000,#f1bba6){火};&br;[バランス]|火属性とバランスタイプの攻撃力が2倍。|灼炎王アポロ|&aname(ls0715,full,super){ls0715};|
|&font2(80%){そるぶれいず・えくすぷろーじょん};SB・エクスプロージョン	|>|&color(#000,#f1bba6){火};&br;[神]|火属性と神タイプの攻撃力が2倍。|灼炎太陽神アポロ|&aname(ls1059,full,super){ls1059};|
|ヴァルハラのうた		|>|&color(#000,#f1bba6){火};&br;[神]|火属性と神タイプの攻撃力が2倍。|覚醒幻神・オーディンたまドラ|&aname(ls1230,full,super){ls1230};|
|ミーミルのいずみ		|>|&color(#000,#a6f1f1){水};&br;[神]|水属性と神タイプの攻撃力が2倍。|覚醒秘神・オーディンたまドラ|&aname(ls1229,full,super){ls1229};|
|&font2(80%){いっしそうでんのてのべ};一子相伝の手延べ		|>|&color(#000,#f1f1a6){光};&br;[体力]|光属性と体力タイプの攻撃力が2倍。|氷見うどん&br;富山湾の伝統・氷見うどん|&aname(ls1219,full,super){ls1219};|
|&font2(80%){いっしそうでんのみょうみ};一子相伝の妙味		|>|&color(#000,#f1f1a6){光};&br;[体力]|光属性と体力タイプのHPと攻撃力が2倍。|富山の色彩・氷見うどん|&aname(ls2105,full,super){ls2105};|
|&font2(80%){ぜんりょくでたおすだけだぜ！};全力でたおすだけだぜ！	|>|&color(#000,#f1f1a6){光};&br;[体力]|光属性と体力タイプの攻撃力が2.5倍。|青銅聖闘士・星矢|&aname(ls1426,full,super){ls1426};|
|&font2(80%){もえろ おれのこすもよ！};燃えろ オレの小宇宙よ！	|>|&color(#000,#f1f1a6){光};&br;[体力]|光属性と体力タイプの攻撃力が2.5倍。|青銅聖闘士・天馬星座の星矢|&aname(ls1427,full,super){ls1427};|
|ぼくはいかなければ…	|>|&color(#000,#f1bba6){火};&br;[回復]|火属性と回復タイプの攻撃力が2.5倍。|青銅聖闘士・瞬|&aname(ls1432,full,super){ls1432};|
|&font2(80%){こんどはぼくがあいてだ！};今度はぼくが相手だ！		|>|&color(#000,#f1bba6){火};&br;[回復]|火属性と回復タイプの攻撃力が2.5倍。|青銅聖闘士・アンドロメダ星座の瞬|&aname(ls1433,full,super){ls1433};|
|かならずたおしてみせる！	|>|&color(#000,#a6f1f1){水};&br;[バランス]|水属性とバランスタイプの攻撃力が2.5倍。|青銅聖闘士・氷河|&aname(ls1428,full,super){ls1428};|
|&font2(80%){まえはくちょう!!};舞え白鳥!!		|>|&color(#000,#a6f1f1){水};&br;[バランス]|水属性とバランスタイプの攻撃力が2.5倍。|青銅聖闘士・白鳥星座の氷河|&aname(ls1428full,super){ls1429};|
|&font2(80%){このこぶしをあなたへのはなむけとしよう};この拳を貴方への餞としよう	|>|&color(#000,#a6f1f1){水};&br;[バランス]|水属性とバランスタイプのHPが1.5倍、攻撃力は2.5倍。|受継ぎし拳・水瓶座の氷河|&aname(ls2123full,super){ls2123};|
|&font2(80%){ばかがなにをかんしんしている};バカがなにを感心している		|>|&color(#000,#bbf1a6){木};&br;[攻撃]|木属性と攻撃タイプの攻撃力が2.5倍。|白銀聖闘士・シャイナ|&aname(ls1718,full,super){ls1718};|
|&font2(80%){おまえもほんきでたたかえ};おまえも本気で戦え		|>|&color(#000,#bbf1a6){木};&br;[攻撃]|木属性と攻撃タイプの攻撃力が2.5倍。|白銀聖闘士・蛇遣い座のシャイナ|&aname(ls1719,full,super){ls1719};|
|&font2(80%){ましょうはんにゃぱわー};魔性般若パワー		|>|&color(#000,#bba6f1){闇};&br;[ドラゴン]|闇属性とドラゴンタイプの攻撃力が2.5倍。|魔肖ネロ&br;魔肖ピエドラ|&aname(ls1491,full,super){ls1491};|
|&font2(80%){わたしのそばならすずしいよ};私のそばなら涼しいよ	|>|&color(#000,#a6f1f1){水};&br;[悪魔]|水属性と悪魔タイプの攻撃力が2.5倍。|楽園のセレブ・ヘラ・イース|&aname(ls2283,full,super){ls2283};|
|ディバインソウル		|>|&color(#000,#bbf1a6){木};&br;[マシン]|木属性とマシン((ver7.9で神→マシンに修正))タイプの攻撃力が2.5倍。&br;マシンタイプの回復力が1.5倍。((ver7.9で追加))|五機龍合体・ゴッドカノープス|&aname(ls1206,full,super){ls1206};|
|アブソリュートカオス	|>|&color(#000,#bba6f1){闇};&br;[マシン]|闇属性とマシン((ver7.9で悪魔→マシンに修正))タイプの攻撃力が2.5倍。&br;マシンタイプのHPが1.5倍。((ver7.9で追加))|五機龍融合・デモンハダル|&aname(ls1207,full,super){ls1207};|
|&font2(80%){しょうりのけんのみちびき};勝利の剣の導き		|>|&color(#000,#f1bba6){火};&br;[攻撃]|火属性と攻撃タイプの攻撃力と回復力が2倍。|焔剣の勝利神・フレイ|&aname(ls0652,full,super){ls0652};|
|&font2(80%){おうごんりんごのしゅくふく};黄金林檎の祝福		|>|&color(#000,#a6f1f1){水};&br;[バランス]|水属性とバランスタイプの攻撃力と回復力が2倍。|蒼穹の双星神・イズン＆イズーナ|&aname(ls0653,full,super){ls0653};|
|&font2(80%){ぶりーじんがめんのかご};ブリージンガメンの加護	|>|&color(#000,#bbf1a6){木};&br;[回復]|木属性と回復タイプの攻撃力と回復力が2倍。|緑聖の豊麗神・フレイヤ|&aname(ls0654,full,super){ls0654};|
|&font2(80%){めぎんぎょるずのおんけい};メギンギョルズの恩恵	|>|&color(#000,#f1f1a6){光};&br;[体力]|光属性と体力タイプの攻撃力と回復力が2倍。|雷槌の金剛神・トール|&aname(ls0655,full,super){ls0655};|
|&font2(80%){とりっくすたーのさくぼう};トリックスターの策謀	|>|&color(#000,#bba6f1){闇};&br;[悪魔]|闇属性と悪魔タイプの攻撃力と回復力が2倍。|終焉の狡知神・ロキ|&aname(ls0656,full,super){ls0656};|
|ニルヴァーナソウル		|>|&color(#000,#bbf1a6){木};&br;[神]|木属性と神タイプのHPと攻撃力が2倍。|守護龍・アヴァロンドレイク|&aname(ls1131,full,super){ls1131};|
|&font2(80%){ひしんおーでぃんはっと};秘神オーディンハット	|>|&color(#000,#a6f1f1){水};&br;[体力]|水属性と体力タイプのHPが1.5倍((ver7.2で追加))、攻撃力は2.5倍。|覚醒秘神オーディンネコ&br;覚醒秘神オーディン＆オーディンネコ|&aname(ls1198,full,super){ls1198};|
|ソング・オブ・ヴァルハラ	|>|&color(#000,#f1bba6){火};&br;[神]|火属性と神タイプのHPが1.5倍((ver7.2で追加))、攻撃力は2.5倍。|覚醒幻神・オーディン|&aname(ls1108,full,super){ls1108};|
|ヴァルハラ・オブ・ドーン	|>|&color(#000,#f1bba6){火};&br;[神]|火属性と神タイプのHPが1.5倍、攻撃力は2.5倍。火を4個以上つなげると攻撃力がほんの少し上昇。|滅槍の幻術神・オーディン((ver8.5で変更)) |&aname(ls1108,full,super){ls2179};|
|そんぐ・おぶ・ばるはら	|>|&color(#000,#f1bba6){火};&br;[神]|火属性と神タイプのHPが1.5倍、攻撃力は2.5倍。|幻神・ミニおーでぃん|&aname(ls2021,full,super){ls2021};|
|グレイス・オブ・ミーミル	|>|&color(#000,#a6f1f1){水};&br;[神]|水属性と神タイプのHPが1.5倍((ver7.2で追加))、攻撃力は2.5倍。|覚醒秘神・オーディン((ver5.1で変更))|&aname(ls0365,full,super){ls0365};|
